country,dimension,mort,prev,method
AUT,ADL,1.036286665,0.59835737,Sullivan
AUT,CHRONIC,3.419763026,0.808889767,Sullivan
AUT,GALI,1.200486319,1.768504239,Sullivan
AUT,SR,2.020535736,0.469320718,Sullivan
BEL,ADL,1.156378377,1.59053289,Sullivan
BEL,CHRONIC,3.537076349,0.447037548,Sullivan
BEL,GALI,0.976427058,1.149850456,Sullivan
BEL,SR,1.522000183,0.714259018,Sullivan
BGR,ADL,1.421965915,0.132053223,Sullivan
BGR,CHRONIC,4.869741027,1.184695967,Sullivan
BGR,GALI,1.308976542,0.309717132,Sullivan
BGR,SR,3.085766283,1.542194577,Sullivan
CHE,ADL,0.467837528,0.315543654,Sullivan
CHE,CHRONIC,2.768385399,-3.780642239,Sullivan
CHE,GALI,0.499474122,-1.413082684,Sullivan
CHE,SR,1.060261624,-0.242283156,Sullivan
CZE,ADL,1.230136212,0.053379233,Sullivan
CZE,CHRONIC,4.459642225,-0.661534854,Sullivan
CZE,GALI,1.299314296,-0.379751196,Sullivan
CZE,SR,2.025314679,0.381268457,Sullivan
DEU,ADL,1.066755371,0.533551254,Sullivan
DEU,CHRONIC,3.737965216,-0.400349746,Sullivan
DEU,GALI,1.278038451,0.822314898,Sullivan
DEU,SR,2.318731327,0.897942746,Sullivan
DNK,ADL,0.714488435,-0.389177006,Sullivan
DNK,CHRONIC,2.809414289,0.413458014,Sullivan
DNK,GALI,0.65520953,0.733408926,Sullivan
DNK,SR,1.359711798,0.930570225,Sullivan
ESP,ADL,1.573204637,-1.021536982,Sullivan
ESP,CHRONIC,4.522852342,-1.358187624,Sullivan
ESP,GALI,0.844143171,1.397872563,Sullivan
ESP,SR,3.03281981,2.644008951,Sullivan
EST,ADL,1.679824,0.310112041,Sullivan
EST,CHRONIC,6.161697656,0.572652017,Sullivan
EST,GALI,2.76880857,-0.410353674,Sullivan
EST,SR,5.739219908,-0.220995317,Sullivan
FIN,ADL,0.831078775,0.251362819,Sullivan
FIN,CHRONIC,4.189579126,-0.31608977,Sullivan
FIN,GALI,1.144412051,-0.696301164,Sullivan
FIN,SR,2.738689446,-1.299540686,Sullivan
FRA,ADL,1.353036661,0.054670784,Sullivan
FRA,CHRONIC,4.527301461,0.910924602,Sullivan
FRA,GALI,1.568365876,-0.467575749,Sullivan
FRA,SR,2.620461909,-0.00993409,Sullivan
GRC,ADL,0.57696561,0.825282981,Sullivan
GRC,CHRONIC,3.812151118,1.400694838,Sullivan
GRC,GALI,0.537282573,0.699850781,Sullivan
GRC,SR,2.228342708,1.937492364,Sullivan
HRV,ADL,1.213951766,0.727021729,Sullivan
HRV,CHRONIC,4.454322139,1.240578055,Sullivan
HRV,GALI,1.391660021,0.181845989,Sullivan
HRV,SR,2.803850842,1.585703203,Sullivan
HUN,ADL,1.110019245,0.088897626,Sullivan
HUN,CHRONIC,5.200327152,3.459515563,Sullivan
HUN,GALI,1.622303706,1.212148972,Sullivan
HUN,SR,4.02540962,3.349567029,Sullivan
ITA,ADL,1.209621237,1.471168243,Sullivan
ITA,CHRONIC,3.406483272,0.842519066,Sullivan
ITA,GALI,1.227341529,0.807638369,Sullivan
ITA,SR,2.444316114,2.818917784,Sullivan
LTU,ADL,1.924642887,0.610662247,Sullivan
LTU,CHRONIC,6.649233362,1.746012606,Sullivan
LTU,GALI,1.860522609,-0.514777144,Sullivan
LTU,SR,5.296546787,1.729317562,Sullivan
LUX,ADL,0.859482974,-0.669036213,Sullivan
LUX,CHRONIC,3.143866806,0.131510486,Sullivan
LUX,GALI,1.15811229,-0.419718671,Sullivan
LUX,SR,1.759202753,1.436395873,Sullivan
LVA,ADL,1.339403446,0.979668957,Sullivan
LVA,CHRONIC,6.472681703,1.961674696,Sullivan
LVA,GALI,1.386465143,0.146853889,Sullivan
LVA,SR,5.693836297,1.957695535,Sullivan
POL,ADL,1.625417145,0.207455979,Sullivan
POL,CHRONIC,5.568080221,1.351465626,Sullivan
POL,GALI,2.166565985,0.098094687,Sullivan
POL,SR,4.075324817,0.45930467,Sullivan
PRT,ADL,1.535852773,2.29325344,Sullivan
PRT,CHRONIC,4.572999618,3.453348907,Sullivan
PRT,GALI,1.454285774,1.239183879,Sullivan
PRT,SR,3.245197316,4.657454092,Sullivan
SVK,ADL,0.78710782,1.127204705,Sullivan
SVK,CHRONIC,4.163360103,3.749388999,Sullivan
SVK,GALI,0.951360853,1.682370739,Sullivan
SVK,SR,2.694715955,2.314785971,Sullivan
SVN,ADL,1.122889675,-0.61520651,Sullivan
SVN,CHRONIC,4.502934569,0.310389054,Sullivan
SVN,GALI,1.719347094,-0.243852851,Sullivan
SVN,SR,2.947243444,-0.225821246,Sullivan
SWE,ADL,0.553961698,0.055697763,Sullivan
SWE,CHRONIC,2.363161404,0.582501494,Sullivan
SWE,GALI,0.703910567,1.104680156,Sullivan
SWE,SR,1.239514258,1.36068396,Sullivan
AUT,ADL,1.060502271,0.587217264,CAL
AUT,CHRONIC,3.464392647,0.801766637,CAL
AUT,GALI,1.224501522,1.756220722,CAL
AUT,SR,2.053254524,0.457418253,CAL
BEL,ADL,1.172354798,1.571034797,CAL
BEL,CHRONIC,3.608733637,0.442578625,CAL
BEL,GALI,0.993175073,1.1400852,CAL
BEL,SR,1.552203647,0.70154124,CAL
BGR,ADL,1.420405648,0.129051968,CAL
BGR,CHRONIC,4.905295327,1.180070925,CAL
BGR,GALI,1.3065975,0.305392771,CAL
BGR,SR,3.099525506,1.532702836,CAL
CHE,ADL,0.460029673,0.293729593,CAL
CHE,CHRONIC,2.723953864,-3.776766268,CAL
CHE,GALI,0.492398176,-1.422635142,CAL
CHE,SR,1.044231334,-0.255217623,CAL
CZE,ADL,1.235727004,0.052200518,CAL
CZE,CHRONIC,4.463632937,-0.662636526,CAL
CZE,GALI,1.30337565,-0.382031706,CAL
