"Healthy","Unhealthy","",""
"28.1628978335869","2.70207755688309","AT","adl"
"28.1628978335869","2.70207755688309","AT","adl"
"24.0707963054656","5.42191936717313","AT","gal"
"20.8656420646786","9.58504394750018","AT","sr"
"25.1080756017713","4.55144182749685","BE","adl"
"24.5071806182148","5.03063311512473","BE","gal"
"19.0932118288263","9.94617637065209","BE","sr"
"25.0207555476334","2.84484337636136","CZ","adl"
"24.6281885064659","3.63058492508832","CZ","gal"
"22.0635250827035","6.92364845598743","CZ","sr"
"26.2220784456065","2.83293567898991","DE","adl"
"23.1071424434162","5.54204615236707","DE","gal"
"15.7151340143987","12.6975057604355","DE","sr"
"28.907131577314","2.23103277839264","DK","adl"
"26.6932081541888","3.07054520695883","DK","gal"
"20.3705877741871","8.48325853558816","DK","sr"
"20.5797593125523","2.50517155325464","EE","adl"
"18.3556144211043","5.26921219658335","EE","gal"
"8.29835587968196","15.1576694501383","EE","sr"
"24.2187230642559","3.26479528599181","ES","adl"
"25.0327155422127","1.95783682819375","ES","gal"
"16.4903302047602","11.0762312138611","ES","sr"
"28.8684563191251","2.57358818715215","FR","adl"
"28.3232138519991","3.57912587667626","FR","gal"
"20.6195759864331","10.287379496849","FR","sr"
"28.5176716623146","1.22848518426628","GR","adl"
"28.8660604345819","1.16772215688961","GR","gal"
"22.553207408475","6.90623336206506","GR","sr"
"21.7371466533759","2.36886195329375","HR","adl"
"20.8958365440955","4.13467984925649","HR","gal"
"13.7092485357991","10.8125798677956","HR","sr"
"28.2773174557974","3.63979699006708","IT","adl"
"26.3634990173009","5.46325640042962","IT","gal"
"17.946672732209","13.9020536977488","IT","sr"
"21.5332244076111","2.73245802402422","PL","adl"
"19.7740433928465","4.4615945882261","PL","gal"
"13.2936813804505","11.5307420046581","PL","sr"
"31.2525356397358","2.13675215503901","SE","adl"
"26.8889693959328","5.15232348464229","SE","gal"
"23.6371904824931","8.91577413862794","SE","sr"
