"Healthy","Unhealthy","",""
"27.7553421595766","2.85381165952231","AT","adl"
"27.7553421595766","2.85381165952231","AT","adl"
"26.3341124512406","4.47053697773977","AT","gal"
"20.6212908327345","9.85436297044095","AT","sr"
"26.1826507793092","3.8910483482397","BE","adl"
"25.6655571771886","4.48915829326235","BE","gal"
"17.6648404911306","10.870345774226","BE","sr"
"24.6905887744075","3.06687757584546","CZ","adl"
"24.5580440754136","3.5958771985392","CZ","gal"
"23.3498425046373","6.21172413400722","CZ","sr"
"24.6010378916536","3.55388052929111","DE","adl"
"22.569099595142","5.84882690384834","DE","gal"
"15.1804414435961","13.2123269266962","DE","sr"
"27.6208364694691","2.7390890956904","DK","adl"
"26.4400426596118","3.16968155288832","DK","gal"
"20.8663593771422","8.21042866350585","DK","sr"
"20.5539375023256","2.54070804817752","EE","adl"
"18.3585489349188","5.25388231828585","EE","gal"
"8.11224530096941","15.2782052501318","EE","sr"
"26.3529113698013","1.99141860521574","ES","adl"
"25.3540500552164","1.85947178392475","ES","gal"
"17.1762105893328","10.6855203180576","ES","sr"
"29.1179618331816","2.25960536555645","FR","adl"
"27.1983942980317","3.9353458198029","FR","gal"
"20.1020138576459","10.55237830311","FR","sr"
"28.2148896237509","1.15312491044635","GR","adl"
"29.1974447184543","0.929216977688762","GR","gal"
"23.2327744818297","6.40451636173456","GR","sr"
"22.08732063984","2.19008534739912","HR","adl"
"21.1973801043178","3.98087191032738","HR","gal"
"14.4324511347963","10.3191663803985","HR","sr"
"29.5450505801337","2.61926567006767","IT","adl"
"27.6399567368071","4.61275437388798","IT","gal"
"19.8798458737284","12.3778075445485","IT","sr"
"21.1390360885094","2.9964129068737","PL","adl"
"18.002786668289","5.82066040748603","PL","gal"
"11.9776699501167","12.413640596123","PL","sr"
"30.6169029501844","2.5314972623746","SE","adl"
"28.375340029392","4.30045918262594","SE","gal"
"23.0354500662683","9.27873115329948","SE","sr"
