# ATF.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Sat May 25 22:16:37 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.78711 0 1 0.21289 0 1
 52 1.00000 1 1 0.00000 0 1
 53 1.00000 1 1 0.00000 0 1
 54 1.00000 3 3 0.00000 0 3
 55 0.97548 5 5 0.02452 0 5
 56 0.91758 4 5 0.08242 0 5
 57 0.98038 3 4 0.01962 0 4
 58 0.88936 3 4 0.11064 0 4
 59 0.92004 4 4 0.07996 0 4
 60 0.93221 4 4 0.06779 0 4
 61 0.96343 2 2 0.03657 0 2
 62 0.98503 2 2 0.01497 0 2
 63 0.98635 2 2 0.01365 0 2
 64 0.94421 2 2 0.05579 0 2
 65 0.98489 2 2 0.01511 0 2
 66 0.96502 2 2 0.03498 0 2
 67 0.93910 2 2 0.06090 0 2
 68 0.96843 3 3 0.03157 0 3
 69 0.95784 2 2 0.04216 0 2
 70 0.91651 1 2 0.08349 0 2
 71 0.91970 2 2 0.08030 0 2
 72 0.95659 2 2 0.04341 0 2
 73 0.83996 2 2 0.16004 0 2
 74 0.87909 3 3 0.12091 0 3
 75 0.78337 2 2 0.21663 0 2
 76 0.87567 2 2 0.12433 0 2
 77 0.89104 2 2 0.10896 0 2
 78 0.88171 1 1 0.11829 0 1
 79 0.92973 1 1 0.07027 0 1
 80 0.87151 1 1 0.12849 0 1
 81 0.55400 1 1 0.44600 1 1
 82 0.78534 1 1 0.21466 0 1
 83 0.51640 1 1 0.48360 1 1
 84 0.49701 1 1 0.50299 1 1
 85 0.67611 1 2 0.32389 1 2
 86 0.57289 1 1 0.42711 1 1
 87 0.59225 1 1 0.40775 0 1
 88 0.55498 1 1 0.44502 1 1
 89 1.00000 0 0 0.00000 0 0
 90 0.44174 0 0 0.55826 0 0
 91 0.47927 0 1 0.52073 0 1
 92 0.16818 0 0 0.83182 0 0
 93 0.41883 0 0 0.58117 0 0
 94 0.00000 0 0 1.00000 0 0
 95 0.34742 0 0 0.65258 0 0
 96 0.00000 0 0 1.00000 0 0
 97 0.52737 0 0 0.47263 0 0
 98 NaNq 0 0 NaNq 0 0
 99 NaNq 0 0 NaNq 0 0
 100 NaNq 0 0 NaNq 0 0
 101 NaNq 0 0 NaNq 0 0
 102 0.00000 0 0 1.00000 0 0
