# ATFchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:03:20 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.23347 0 1 0.76653 0 1
 52 0.23826 0 1 0.76174 0 1
 53 0.54375 1 1 0.45625 1 1
 54 0.35521 1 3 0.64479 2 3
 55 0.30761 2 5 0.69239 4 5
 56 0.26471 1 5 0.73529 4 5
 57 0.38987 1 4 0.61013 2 4
 58 0.22196 1 4 0.77804 3 4
 59 0.31582 1 4 0.68418 3 4
 60 0.33434 1 4 0.66566 3 4
 61 0.30731 1 2 0.69269 1 2
 62 0.31783 1 2 0.68217 2 2
 63 0.21996 1 2 0.78004 2 2
 64 0.24176 1 2 0.75824 2 2
 65 0.27708 1 2 0.72292 2 2
 66 0.22235 1 2 0.77765 2 2
 67 0.25608 1 2 0.74392 2 2
 68 0.19986 1 3 0.80014 2 3
 69 0.24940 0 2 0.75060 1 2
 70 0.07505 0 2 0.92495 1 2
 71 0.19229 0 2 0.80771 2 2
 72 0.17649 0 2 0.82351 2 2
 73 0.08974 0 2 0.91026 2 2
 74 0.17684 1 3 0.82316 2 3
 75 0.09929 0 2 0.90071 2 2
 76 0.19842 0 2 0.80158 2 2
 77 0.14121 0 2 0.85879 2 2
 78 0.09349 0 1 0.90651 1 1
 79 0.14743 0 1 0.85257 1 1
 80 0.19884 0 1 0.80116 1 1
 81 0.18332 0 1 0.81668 1 1
 82 0.05455 0 1 0.94545 1 1
 83 0.00000 0 1 1.00000 1 1
 84 0.00000 0 1 1.00000 1 1
 85 0.08682 0 2 0.91318 1 2
 86 0.05870 0 1 0.94130 1 1
 87 0.05854 0 1 0.94146 1 1
 88 0.04509 0 1 0.95491 1 1
 89 0.00000 0 0 1.00000 0 0
 90 0.00000 0 0 1.00000 0 0
 91 0.00000 0 1 1.00000 1 1
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.00000 0 0 1.00000 0 0
 95 0.00000 0 0 1.00000 0 0
 96 0.00000 0 0 1.00000 0 0
 97 0.00000 0 0 1.00000 0 0
 98 NaNq 0 0 NaNq 0 0
 99 NaNq 0 0 NaNq 0 0
 100 NaNq 0 0 NaNq 0 0
 101 NaNq 0 0 NaNq 0 0
 102 0.00000 0 0 1.00000 0 0
