# ATFgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 10:58:32 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.85852 0 1 0.14148 0 1
 52 0.84193 0 1 0.15807 0 1
 53 0.81307 1 1 0.18693 0 1
 54 0.74892 2 3 0.25108 1 3
 55 0.89075 4 5 0.10925 1 5
 56 0.90236 4 5 0.09764 0 5
 57 0.98660 3 4 0.01340 0 4
 58 0.91490 3 4 0.08510 0 4
 59 0.89404 4 4 0.10596 0 4
 60 0.83695 3 4 0.16305 1 4
 61 0.91383 2 2 0.08617 0 2
 62 0.91422 2 2 0.08578 0 2
 63 0.96950 2 2 0.03050 0 2
 64 0.88105 2 2 0.11895 0 2
 65 0.91487 2 2 0.08513 0 2
 66 0.91410 2 2 0.08590 0 2
 67 0.85807 2 2 0.14193 0 2
 68 0.88344 2 3 0.11656 0 3
 69 0.90155 2 2 0.09845 0 2
 70 0.85932 1 2 0.14068 0 2
 71 0.88059 2 2 0.11941 0 2
 72 0.88547 2 2 0.11453 0 2
 73 0.71907 2 2 0.28093 1 2
 74 0.79223 2 3 0.20777 1 3
 75 0.77281 2 2 0.22719 0 2
 76 0.76370 1 2 0.23630 0 2
 77 0.75731 1 2 0.24269 0 2
 78 0.80258 1 1 0.19742 0 1
 79 0.80299 1 1 0.19701 0 1
 80 0.70210 1 1 0.29790 0 1
 81 0.59747 1 1 0.40253 0 1
 82 0.59710 1 1 0.40290 0 1
 83 0.44030 1 1 0.55970 1 1
 84 0.73199 1 1 0.26801 0 1
 85 0.81470 1 2 0.18530 0 2
 86 0.32643 0 1 0.67357 1 1
 87 0.24556 0 1 0.75444 1 1
 88 0.71181 1 1 0.28819 0 1
 89 0.34061 0 0 0.65939 0 0
 90 0.71734 0 0 0.28266 0 0
 91 0.47927 0 1 0.52073 0 1
 92 0.51790 0 0 0.48210 0 0
 93 0.41883 0 0 0.58117 0 0
 94 0.63089 0 0 0.36911 0 0
 95 0.85854 0 0 0.14146 0 0
 96 0.00000 0 0 1.00000 0 0
 97 0.52737 0 0 0.47263 0 0
 98 NaNq 0 0 NaNq 0 0
 99 NaNq 0 0 NaNq 0 0
 100 NaNq 0 0 NaNq 0 0
 101 NaNq 0 0 NaNq 0 0
 102 0.00000 0 0 1.00000 0 0
