# ATFsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 20:51:15 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.78711 0 1 0.21289 0 1
 52 0.62439 0 1 0.37561 0 1
 53 0.61144 1 1 0.38856 1 1
 54 0.74683 2 3 0.25317 1 3
 55 0.75658 4 5 0.24342 1 5
 56 0.80760 4 5 0.19240 1 5
 57 0.82119 3 4 0.17881 1 4
 58 0.81250 3 4 0.18750 1 4
 59 0.79393 3 4 0.20607 1 4
 60 0.67859 3 4 0.32141 1 4
 61 0.84652 2 2 0.15348 0 2
 62 0.68984 2 2 0.31016 1 2
 63 0.74284 2 2 0.25716 1 2
 64 0.75378 2 2 0.24622 1 2
 65 0.80657 2 2 0.19343 0 2
 66 0.78216 2 2 0.21784 1 2
 67 0.70301 2 2 0.29699 1 2
 68 0.53477 1 3 0.46523 1 3
 69 0.61980 1 2 0.38020 1 2
 70 0.70735 1 2 0.29265 0 2
 71 0.70374 2 2 0.29626 1 2
 72 0.72163 2 2 0.27837 1 2
 73 0.51195 1 2 0.48805 1 2
 74 0.59128 2 3 0.40872 1 3
 75 0.47332 1 2 0.52668 1 2
 76 0.62315 1 2 0.37685 1 2
 77 0.57492 1 2 0.42508 1 2
 78 0.53116 1 1 0.46884 1 1
 79 0.53970 1 1 0.46030 1 1
 80 0.48378 1 1 0.51622 1 1
 81 0.43870 1 1 0.56130 1 1
 82 0.39768 0 1 0.60232 1 1
 83 0.30787 0 1 0.69213 1 1
 84 0.51576 1 1 0.48424 1 1
 85 0.45504 1 2 0.54496 1 2
 86 0.27199 0 1 0.72801 1 1
 87 0.33409 0 1 0.66591 1 1
 88 0.39319 0 1 0.60681 1 1
 89 0.20888 0 0 0.79112 0 0
 90 0.14404 0 0 0.85596 0 0
 91 0.11227 0 1 0.88773 1 1
 92 0.30382 0 0 0.69618 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.37999 0 0 0.62001 0 0
 95 0.34742 0 0 0.65258 0 0
 96 0.00000 0 0 1.00000 0 0
 97 0.52737 0 0 0.47263 0 0
 98 NaNq 0 0 NaNq 0 0
 99 NaNq 0 0 NaNq 0 0
 100 NaNq 0 0 NaNq 0 0
 101 NaNq 0 0 NaNq 0 0
 102 0.00000 0 0 1.00000 0 0
