# ATM12.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 10:38:41 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 0 0 0.00000 0 0
 52 1.00000 0 0 0.00000 0 0
 53 1.00000 1 1 0.00000 0 1
 54 1.00000 4 4 0.00000 0 4
 55 0.88289 6 7 0.11711 1 7
 56 0.90272 4 5 0.09728 0 5
 57 1.00000 5 5 0.00000 0 5
 58 0.93550 4 4 0.06450 0 4
 59 1.00000 5 5 0.00000 0 5
 60 0.94810 2 2 0.05190 0 2
 61 0.97734 2 2 0.02266 0 2
 62 0.91012 2 2 0.08988 0 2
 63 1.00000 3 3 0.00000 0 3
 64 0.92101 2 2 0.07899 0 2
 65 0.91815 2 2 0.08185 0 2
 66 0.94657 3 3 0.05343 0 3
 67 0.93199 2 3 0.06801 0 3
 68 0.88045 2 2 0.11955 0 2
 69 0.95953 3 3 0.04047 0 3
 70 0.87635 1 2 0.12365 0 2
 71 0.83545 2 2 0.16455 0 2
 72 0.91686 1 2 0.08314 0 2
 73 0.82757 2 2 0.17243 0 2
 74 0.88114 2 3 0.11886 0 3
 75 0.92450 2 2 0.07550 0 2
 76 0.95958 2 2 0.04042 0 2
 77 0.96017 1 1 0.03983 0 1
 78 0.79545 1 2 0.20455 0 2
 79 0.83845 1 1 0.16155 0 1
 80 0.82650 1 1 0.17350 0 1
 81 0.78343 1 1 0.21657 0 1
 82 0.85523 1 1 0.14477 0 1
 83 0.97730 0 0 0.02270 0 0
 84 0.64372 1 1 0.35628 0 1
 85 0.70545 0 1 0.29455 0 1
 86 0.70232 0 1 0.29768 0 1
 87 0.59573 0 1 0.40427 0 1
 88 0.44186 0 1 0.55814 0 1
 89 0.73621 0 0 0.26379 0 0
 90 0.13348 0 0 0.86652 0 0
 91 0.37599 0 0 0.62401 0 0
 92 0.63750 0 0 0.36250 0 0
 93 1.00000 0 0 0.00000 0 0
 94 0.00000 0 0 1.00000 0 0
 95 1.00000 0 0 0.00000 0 0
 96 NaNq 0 0 NaNq 0 0
 97 NaNq 0 0 NaNq 0 0
