# BEF.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Sun May 26 01:19:17 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.86070 2 3 0.13930 0 3
 52 0.87507 3 3 0.12493 0 3
 53 0.91496 2 3 0.08504 0 3
 54 0.84788 2 3 0.15212 0 3
 55 0.97539 4 4 0.02461 0 4
 56 0.95319 3 3 0.04681 0 3
 57 0.91863 3 3 0.08137 0 3
 58 0.88173 2 2 0.11827 0 2
 59 0.91021 1 1 0.08979 0 1
 60 0.88433 2 2 0.11567 0 2
 61 0.88686 2 3 0.11314 0 3
 62 0.86049 2 2 0.13951 0 2
 63 0.91561 2 2 0.08439 0 2
 64 0.89973 2 2 0.10027 0 2
 65 0.90549 2 2 0.09451 0 2
 66 0.82507 2 3 0.17493 0 3
 67 0.96838 3 3 0.03162 0 3
 68 0.88735 2 3 0.11265 0 3
 69 0.93114 2 2 0.06886 0 2
 70 0.89709 2 2 0.10291 0 2
 71 0.85043 2 2 0.14957 0 2
 72 0.86019 2 2 0.13981 0 2
 73 0.78907 2 2 0.21093 0 2
 74 0.75842 1 1 0.24158 0 1
 75 0.69960 1 2 0.30040 1 2
 76 0.81457 1 2 0.18543 0 2
 77 0.78245 1 2 0.21755 0 2
 78 0.60777 1 2 0.39223 1 2
 79 0.72240 1 1 0.27760 0 1
 80 0.84041 1 1 0.15959 0 1
 81 0.65437 1 2 0.34563 1 2
 82 0.71439 1 1 0.28561 0 1
 83 0.54404 1 2 0.45596 1 2
 84 0.62854 1 1 0.37146 0 1
 85 0.56312 1 1 0.43688 1 1
 86 0.34721 0 1 0.65279 1 1
 87 0.45304 0 1 0.54696 1 1
 88 0.35611 0 1 0.64389 1 1
 89 0.40632 0 1 0.59368 0 1
 90 0.36074 0 1 0.63926 0 1
 91 0.47342 0 0 0.52658 0 0
 92 0.48351 0 0 0.51649 0 0
 93 0.25914 0 0 0.74086 0 0
 94 0.24126 0 0 0.75874 0 0
 95 0.00000 0 0 1.00000 0 0
 96 0.00000 0 0 1.00000 0 0
 97 0.00000 0 0 1.00000 0 0
