# BEFgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 20:18:50 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.80852 2 3 0.19148 0 3
 52 0.83057 2 3 0.16943 0 3
 53 0.93420 2 3 0.06580 0 3
 54 0.90141 3 3 0.09859 0 3
 55 0.95027 4 4 0.04973 0 4
 56 0.85390 3 3 0.14610 0 3
 57 0.77561 3 3 0.22439 1 3
 58 0.90792 2 2 0.09208 0 2
 59 0.84269 1 1 0.15731 0 1
 60 0.87862 2 2 0.12138 0 2
 61 0.85551 2 3 0.14449 0 3
 62 0.86674 2 2 0.13326 0 2
 63 0.80567 2 2 0.19433 0 2
 64 0.79422 2 2 0.20578 0 2
 65 0.88355 2 2 0.11645 0 2
 66 0.82723 2 3 0.17277 0 3
 67 0.92933 3 3 0.07067 0 3
 68 0.89076 3 3 0.10924 0 3
 69 0.87064 2 2 0.12936 0 2
 70 0.87595 2 2 0.12405 0 2
 71 0.85384 2 2 0.14616 0 2
 72 0.92703 2 2 0.07297 0 2
 73 0.81343 2 2 0.18657 0 2
 74 0.81522 1 1 0.18478 0 1
 75 0.66227 1 2 0.33773 1 2
 76 0.72798 1 2 0.27202 0 2
 77 0.81188 1 2 0.18812 0 2
 78 0.73735 1 2 0.26265 0 2
 79 0.73225 1 1 0.26775 0 1
 80 0.89983 1 1 0.10017 0 1
 81 0.70515 1 2 0.29485 1 2
 82 0.71958 1 1 0.28042 0 1
 83 0.73372 1 2 0.26628 0 2
 84 0.60785 1 1 0.39215 0 1
 85 0.69779 1 1 0.30221 0 1
 86 0.47262 0 1 0.52738 1 1
 87 0.61225 1 1 0.38775 0 1
 88 0.58459 1 1 0.41541 0 1
 89 0.70250 0 1 0.29750 0 1
 90 0.37254 0 1 0.62746 0 1
 91 0.56595 0 0 0.43405 0 0
 92 0.83236 0 0 0.16764 0 0
 93 0.25914 0 0 0.74086 0 0
 94 0.85004 0 0 0.14996 0 0
 95 0.15563 0 0 0.84437 0 0
 96 0.00000 0 0 1.00000 0 0
 97 1.00000 0 0 0.00000 0 0
