# BEMgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 10:58:32 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.92477 3 3 0.07523 0 3
 52 0.92270 3 3 0.07730 0 3
 53 0.92463 3 4 0.07537 0 4
 54 0.86507 3 3 0.13493 0 3
 55 0.85705 4 4 0.14295 1 4
 56 0.71491 2 3 0.28509 1 3
 57 0.91222 3 4 0.08778 0 4
 58 0.87610 2 3 0.12390 0 3
 59 0.81502 1 2 0.18498 0 2
 60 0.86254 2 3 0.13746 0 3
 61 0.87228 2 3 0.12772 0 3
 62 0.84612 2 2 0.15388 0 2
 63 0.83564 2 3 0.16436 0 3
 64 0.88657 3 3 0.11343 0 3
 65 0.88977 2 3 0.11023 0 3
 66 0.91092 3 3 0.08908 0 3
 67 0.90650 2 3 0.09350 0 3
 68 0.85265 2 3 0.14735 0 3
 69 0.87534 2 2 0.12466 0 2
 70 0.88184 2 2 0.11816 0 2
 71 0.79091 2 2 0.20909 0 2
 72 0.91516 1 2 0.08484 0 2
 73 0.84945 1 1 0.15055 0 1
 74 0.89889 2 2 0.10111 0 2
 75 0.90352 1 2 0.09648 0 2
 76 0.83912 1 1 0.16088 0 1
 77 0.92446 1 2 0.07554 0 2
 78 0.82907 1 1 0.17093 0 1
 79 0.77591 1 1 0.22409 0 1
 80 0.79594 1 2 0.20406 0 2
 81 0.77171 1 1 0.22829 0 1
 82 0.66683 1 1 0.33317 0 1
 83 0.73732 1 1 0.26268 0 1
 84 0.89092 1 1 0.10908 0 1
 85 0.76559 1 1 0.23441 0 1
 86 0.75175 0 1 0.24825 0 1
 87 0.72383 1 1 0.27617 0 1
 88 0.66532 0 0 0.33468 0 0
 89 0.78160 0 0 0.21840 0 0
 90 0.81794 0 0 0.18206 0 0
 91 0.46727 0 0 0.53273 0 0
 92 0.64265 0 0 0.35735 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.70656 0 0 0.29344 0 0
 95 1.00000 0 0 0.00000 0 0
 96 1.00000 0 0 0.00000 0 0
