# BEMsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 21:24:27 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.74951 2 3 0.25049 1 3
 52 0.78831 2 3 0.21169 1 3
 53 0.83708 3 4 0.16292 1 4
 54 0.88904 3 3 0.11096 0 3
 55 0.82376 4 4 0.17624 1 4
 56 0.80544 3 3 0.19456 1 3
 57 0.83750 3 4 0.16250 1 4
 58 0.84562 2 3 0.15438 0 3
 59 0.73959 1 2 0.26041 0 2
 60 0.77590 2 3 0.22410 1 3
 61 0.75474 2 3 0.24526 1 3
 62 0.72112 2 2 0.27888 1 2
 63 0.77432 2 3 0.22568 1 3
 64 0.81269 3 3 0.18731 1 3
 65 0.74937 2 3 0.25063 1 3
 66 0.79587 3 3 0.20413 1 3
 67 0.77625 2 3 0.22375 1 3
 68 0.86325 2 3 0.13675 0 3
 69 0.79279 2 2 0.20721 0 2
 70 0.79846 2 2 0.20154 1 2
 71 0.65974 1 2 0.34026 1 2
 72 0.70718 1 2 0.29282 0 2
 73 0.75553 1 1 0.24447 0 1
 74 0.68812 1 2 0.31188 1 2
 75 0.66089 1 2 0.33911 1 2
 76 0.74040 1 1 0.25960 0 1
 77 0.85645 1 2 0.14355 0 2
 78 0.64621 1 1 0.35379 1 1
 79 0.66532 1 1 0.33468 0 1
 80 0.66563 1 2 0.33437 1 2
 81 0.65263 1 1 0.34737 0 1
 82 0.63903 1 1 0.36097 0 1
 83 0.59537 1 1 0.40463 0 1
 84 0.57809 1 1 0.42191 0 1
 85 0.73005 1 1 0.26995 0 1
 86 0.68826 0 1 0.31174 0 1
 87 0.68863 1 1 0.31137 0 1
 88 0.26765 0 0 0.73235 0 0
 89 0.76266 0 0 0.23734 0 0
 90 0.65939 0 0 0.34061 0 0
 91 0.42255 0 0 0.57745 0 0
 92 0.71514 0 1 0.28486 0 1
 93 0.72289 0 0 0.27711 0 0
 94 0.76305 0 0 0.23695 0 0
 95 0.00000 0 0 1.00000 0 0
 96 0.48794 0 0 0.51206 0 0
