# CZFchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:03:20 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.28633 1 2 0.71367 2 2
 52 0.06125 0 3 0.93875 3 3
 53 0.25152 1 4 0.74848 3 4
 54 0.21372 1 4 0.78628 3 4
 55 0.40060 0 1 0.59940 1 1
 56 0.26352 0 2 0.73648 1 2
 57 0.29357 1 3 0.70643 2 3
 58 0.26316 1 2 0.73684 2 2
 59 0.18596 0 2 0.81404 2 2
 60 0.28491 1 3 0.71509 2 3
 61 0.15470 0 2 0.84530 2 2
 62 0.17025 0 2 0.82975 2 2
 63 0.28330 1 4 0.71670 3 4
 64 0.24031 1 3 0.75969 3 3
 65 0.16916 0 3 0.83084 2 3
 66 0.14733 0 3 0.85267 3 3
 67 0.11859 0 4 0.88141 3 4
 68 0.12439 0 3 0.87561 3 3
 69 0.07909 0 3 0.92091 3 3
 70 0.11364 0 3 0.88636 3 3
 71 0.06714 0 3 0.93286 2 3
 72 0.15140 0 2 0.84860 2 2
 73 0.07349 0 2 0.92651 2 2
 74 0.05226 0 2 0.94774 1 2
 75 0.03103 0 2 0.96897 2 2
 76 0.04484 0 1 0.95516 1 1
 77 0.01647 0 1 0.98353 1 1
 78 0.05061 0 1 0.94939 1 1
 79 0.09519 0 1 0.90481 1 1
 80 0.08218 0 2 0.91782 2 2
 81 0.01207 0 2 0.98793 2 2
 82 0.05234 0 2 0.94766 1 2
 83 0.09318 0 2 0.90682 2 2
 84 0.36128 0 1 0.63872 1 1
 85 0.02376 0 1 0.97624 1 1
 86 0.12725 0 1 0.87275 1 1
 87 0.00000 0 0 1.00000 0 0
 88 0.00000 0 0 1.00000 0 0
 89 0.00000 0 1 1.00000 1 1
 90 0.17677 0 0 0.82323 0 0
 91 0.00000 0 0 1.00000 0 0
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 NaNq 0 0 NaNq 0 0
 95 NaNq 0 0 NaNq 0 0
 96 NaNq 0 0 NaNq 0 0
 97 NaNq 0 0 NaNq 0 0
 98 NaNq 0 0 NaNq 0 0
 99 NaNq 0 0 NaNq 0 0
 100 NaNq 0 0 NaNq 0 0
 101 NaNq 0 0 NaNq 0 0
 102 0.00000 0 0 1.00000 0 0
 103 NaNq 0 0 NaNq 0 0
 104 NaNq 0 0 NaNq 0 0
