# CZFsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 20:51:15 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.56091 1 2 0.43909 1 2
 52 0.98071 3 3 0.01929 0 3
 53 0.75561 3 4 0.24439 1 4
 54 0.51877 2 4 0.48123 2 4
 55 0.69029 1 1 0.30971 0 1
 56 0.79723 1 2 0.20277 0 2
 57 0.68979 2 3 0.31021 1 3
 58 0.58082 1 2 0.41918 1 2
 59 0.66140 1 2 0.33860 1 2
 60 0.73312 2 3 0.26688 1 3
 61 0.69757 2 2 0.30243 1 2
 62 0.64362 1 2 0.35638 1 2
 63 0.71189 3 4 0.28811 1 4
 64 0.65432 2 3 0.34568 1 3
 65 0.54645 2 3 0.45355 1 3
 66 0.70016 2 3 0.29984 1 3
 67 0.61041 2 4 0.38959 1 4
 68 0.69414 2 3 0.30586 1 3
 69 0.50584 2 3 0.49416 2 3
 70 0.52653 2 3 0.47347 1 3
 71 0.53767 1 3 0.46233 1 3
 72 0.54565 1 2 0.45435 1 2
 73 0.44401 1 2 0.55599 1 2
 74 0.37829 1 2 0.62171 1 2
 75 0.36685 1 2 0.63315 1 2
 76 0.27479 0 1 0.72521 1 1
 77 0.43260 0 1 0.56740 1 1
 78 0.46367 1 1 0.53633 1 1
 79 0.70083 1 1 0.29917 0 1
 80 0.35233 1 2 0.64767 1 2
 81 0.36467 1 2 0.63533 1 2
 82 0.22341 0 2 0.77659 1 2
 83 0.37302 1 2 0.62698 1 2
 84 0.66387 1 1 0.33613 0 1
 85 0.06234 0 1 0.93766 1 1
 86 0.56208 0 1 0.43792 0 1
 87 0.54294 0 0 0.45706 0 0
 88 0.33418 0 0 0.66582 0 0
 89 0.05065 0 1 0.94935 1 1
 90 0.04713 0 0 0.95287 0 0
 91 0.18899 0 0 0.81101 0 0
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 NaNq 0 0 NaNq 0 0
 95 NaNq 0 0 NaNq 0 0
 96 NaNq 0 0 NaNq 0 0
 97 NaNq 0 0 NaNq 0 0
 98 NaNq 0 0 NaNq 0 0
 99 NaNq 0 0 NaNq 0 0
 100 NaNq 0 0 NaNq 0 0
 101 NaNq 0 0 NaNq 0 0
 102 0.00000 0 0 1.00000 0 0
 103 NaNq 0 0 NaNq 0 0
 104 NaNq 0 0 NaNq 0 0
