# CZMsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 20:51:15 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.97966 1 1 0.02034 0 1
 52 0.95248 2 2 0.04752 0 2
 53 0.78240 5 6 0.21760 1 6
 54 0.57272 3 6 0.42728 2 6
 55 0.39806 1 3 0.60194 2 3
 56 0.42439 1 1 0.57561 1 1
 57 0.62967 1 2 0.37033 1 2
 58 0.59769 2 3 0.40231 1 3
 59 0.58217 1 2 0.41783 1 2
 60 0.63650 1 2 0.36350 1 2
 61 0.57124 1 2 0.42876 1 2
 62 0.55960 2 3 0.44040 1 3
 63 0.60938 2 4 0.39062 1 4
 64 0.60411 2 3 0.39589 1 3
 65 0.60435 2 3 0.39565 1 3
 66 0.62890 2 3 0.37110 1 3
 67 0.60262 2 4 0.39738 1 4
 68 0.60358 2 4 0.39642 2 4
 69 0.54441 2 4 0.45559 2 4
 70 0.52681 2 3 0.47319 1 3
 71 0.65636 2 2 0.34364 1 2
 72 0.46697 1 2 0.53303 1 2
 73 0.57952 1 2 0.42048 1 2
 74 0.49614 1 2 0.50386 1 2
 75 0.45639 1 2 0.54361 1 2
 76 0.53346 1 1 0.46654 1 1
 77 0.53205 1 1 0.46795 1 1
 78 0.29559 0 1 0.70441 1 1
 79 0.37414 0 1 0.62586 1 1
 80 0.59056 1 1 0.40944 0 1
 81 0.30144 0 1 0.69856 1 1
 82 0.33619 0 1 0.66381 1 1
 83 0.54449 0 1 0.45551 0 1
 84 0.41914 0 0 0.58086 0 0
 85 0.11189 0 1 0.88811 1 1
 86 0.19946 0 0 0.80054 0 0
 87 0.18001 0 0 0.81999 0 0
 88 0.16688 0 1 0.83312 0 1
 89 0.11839 0 0 0.88161 0 0
 90 0.61811 0 0 0.38189 0 0
 91 0.54900 0 0 0.45100 0 0
 92 0.00000 0 0 1.00000 0 0
 93 1.00000 0 0 0.00000 0 0
 94 0.00000 0 0 1.00000 0 0
 95 NaNq 0 0 NaNq 0 0
 96 NaNq 0 0 NaNq 0 0
 97 0.93949 0 0 0.06051 0 0
 98 NaNq 0 0 NaNq 0 0
 99 NaNq 0 0 NaNq 0 0
