# DEF.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Sat May 25 22:26:15 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.91409 1 1 0.08591 0 1
 52 0.99118 3 3 0.00882 0 3
 53 0.92141 3 4 0.07859 0 4
 54 0.98797 3 3 0.01203 0 3
 55 0.88857 3 3 0.11143 0 3
 56 0.94855 3 3 0.05145 0 3
 57 0.98003 2 2 0.01997 0 2
 58 0.91306 3 3 0.08694 0 3
 59 0.90117 3 3 0.09883 0 3
 60 0.96104 2 2 0.03896 0 2
 61 0.96709 3 3 0.03291 0 3
 62 0.91791 2 2 0.08209 0 2
 63 0.94810 2 3 0.05190 0 3
 64 0.94958 3 3 0.05042 0 3
 65 0.95003 2 3 0.04997 0 3
 66 0.90306 2 2 0.09694 0 2
 67 0.86517 2 3 0.13483 0 3
 68 1.00000 2 2 0.00000 0 2
 69 0.69538 1 1 0.30462 0 1
 70 0.86884 2 2 0.13116 0 2
 71 0.84569 2 2 0.15431 0 2
 72 0.87638 2 3 0.12362 0 3
 73 0.92077 2 3 0.07923 0 3
 74 0.86188 3 3 0.13812 0 3
 75 0.74639 1 2 0.25361 0 2
 76 0.91384 2 2 0.08616 0 2
 77 0.81706 2 2 0.18294 0 2
 78 0.85861 2 2 0.14139 0 2
 79 0.75577 1 2 0.24423 0 2
 80 0.76030 1 2 0.23970 0 2
 81 0.74571 1 2 0.25429 0 2
 82 0.69872 1 1 0.30128 0 1
 83 0.60174 1 1 0.39826 0 1
 84 0.52235 0 1 0.47765 0 1
 85 0.65844 1 1 0.34156 0 1
 86 0.49432 0 0 0.50568 0 0
 87 0.61140 0 1 0.38860 0 1
 88 0.68889 0 1 0.31111 0 1
 89 0.54455 0 1 0.45545 0 1
 90 0.00000 0 0 1.00000 0 0
 91 0.32159 0 0 0.67841 0 0
 92 0.30175 0 0 0.69825 0 0
 93 NaNq 0 0 NaNq 0 0
 94 0.34994 0 0 0.65006 0 0
