# DEFgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 10:58:32 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.82119 1 1 0.17881 0 1
 52 0.89613 3 3 0.10387 0 3
 53 0.84023 3 4 0.15977 1 4
 54 0.88169 3 3 0.11831 0 3
 55 0.90181 3 3 0.09819 0 3
 56 0.74686 3 4 0.25314 1 4
 57 0.92027 2 2 0.07973 0 2
 58 0.77962 3 3 0.22038 1 3
 59 0.88750 3 3 0.11250 0 3
 60 0.87806 2 2 0.12194 0 2
 61 0.84192 2 3 0.15808 0 3
 62 0.83668 2 2 0.16332 0 2
 63 0.83998 2 3 0.16002 0 3
 64 0.88549 3 3 0.11451 0 3
 65 0.86045 2 3 0.13955 0 3
 66 0.93935 2 2 0.06065 0 2
 67 0.80327 2 3 0.19673 0 3
 68 0.97128 2 2 0.02872 0 2
 69 0.73410 1 1 0.26590 0 1
 70 0.78011 1 2 0.21989 0 2
 71 0.78669 2 2 0.21331 0 2
 72 0.82255 2 3 0.17745 1 3
 73 0.91897 2 3 0.08103 0 3
 74 0.74546 2 3 0.25454 1 3
 75 0.70256 1 2 0.29744 1 2
 76 0.74250 2 3 0.25750 1 3
 77 0.79779 2 2 0.20221 0 2
 78 0.74796 1 2 0.25204 0 2
 79 0.69556 1 2 0.30444 0 2
 80 0.60537 1 2 0.39463 1 2
 81 0.63529 1 2 0.36471 1 2
 82 0.54532 1 1 0.45468 0 1
 83 0.49037 0 1 0.50963 0 1
 84 0.45472 0 1 0.54528 0 1
 85 0.69397 1 1 0.30603 0 1
 86 0.41928 0 1 0.58072 0 1
 87 0.60026 0 1 0.39974 0 1
 88 0.61074 0 1 0.38926 0 1
 89 0.35409 0 1 0.64591 1 1
 90 0.00000 0 0 1.00000 0 0
 91 0.68887 0 0 0.31113 0 0
 92 0.62041 0 0 0.37959 0 0
 93 NaNq 0 0 NaNq 0 0
 94 0.00000 0 0 1.00000 0 0
