# DEM.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Sat May 25 22:26:15 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 0 0 0.00000 0 0
 52 0.95506 2 2 0.04494 0 2
 53 0.94915 5 5 0.05085 0 5
 54 0.96928 4 4 0.03072 0 4
 55 0.94866 4 4 0.05134 0 4
 56 0.93914 4 4 0.06086 0 4
 57 0.93993 4 4 0.06007 0 4
 58 0.98537 4 4 0.01463 0 4
 59 0.90400 3 4 0.09600 0 4
 60 0.87384 2 3 0.12616 0 3
 61 0.95848 2 2 0.04152 0 2
 62 0.90415 2 3 0.09585 0 3
 63 0.97700 3 3 0.02300 0 3
 64 0.89650 3 3 0.10350 0 3
 65 0.91198 3 3 0.08802 0 3
 66 0.90553 3 3 0.09447 0 3
 67 0.98247 2 2 0.01753 0 2
 68 0.81272 2 2 0.18728 0 2
 69 0.85852 2 2 0.14148 0 2
 70 0.89838 2 2 0.10162 0 2
 71 0.79875 2 3 0.20125 1 3
 72 0.82551 1 2 0.17449 0 2
 73 0.82573 2 2 0.17427 0 2
 74 0.98006 2 2 0.01994 0 2
 75 0.91642 2 3 0.08358 0 3
 76 0.81897 2 2 0.18103 0 2
 77 0.82749 2 2 0.17251 0 2
 78 0.78780 2 2 0.21220 0 2
 79 0.85809 1 1 0.14191 0 1
 80 0.66436 1 1 0.33564 0 1
 81 0.77389 1 1 0.22611 0 1
 82 0.86205 1 1 0.13795 0 1
 83 0.75293 0 0 0.24707 0 0
 84 0.70425 0 1 0.29575 0 1
 85 0.77953 1 1 0.22047 0 1
 86 0.64473 0 0 0.35527 0 0
 87 0.59330 0 1 0.40670 0 1
 88 0.68043 0 0 0.31957 0 0
 89 0.73252 0 0 0.26748 0 0
 90 0.77164 0 0 0.22836 0 0
 91 0.00000 0 0 1.00000 0 0
 92 0.80627 0 0 0.19373 0 0
 93 NaNq 0 0 NaNq 0 0
 94 0.00000 0 0 1.00000 0 0
 95 0.00000 0 0 1.00000 0 0
