# DEMsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 20:51:15 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 0 0 0.00000 0 0
 52 0.78729 1 2 0.21271 0 2
 53 0.69075 3 5 0.30925 2 5
 54 0.66364 3 4 0.33636 1 4
 55 0.64971 3 4 0.35029 1 4
 56 0.56622 2 4 0.43378 2 4
 57 0.66497 3 4 0.33503 1 4
 58 0.72408 3 4 0.27592 1 4
 59 0.64504 2 4 0.35496 1 4
 60 0.62671 2 3 0.37329 1 3
 61 0.74473 2 2 0.25527 1 2
 62 0.58851 2 3 0.41149 1 3
 63 0.66332 2 3 0.33668 1 3
 64 0.66975 2 3 0.33025 1 3
 65 0.70320 2 3 0.29680 1 3
 66 0.67362 2 3 0.32638 1 3
 67 0.59787 1 2 0.40213 1 2
 68 0.59381 1 2 0.40619 1 2
 69 0.63326 1 2 0.36674 1 2
 70 0.62441 1 2 0.37559 1 2
 71 0.51818 1 3 0.48182 1 3
 72 0.60224 1 2 0.39776 1 2
 73 0.44310 1 2 0.55690 1 2
 74 0.67128 2 2 0.32872 1 2
 75 0.44160 1 3 0.55840 1 3
 76 0.47952 1 2 0.52048 1 2
 77 0.55904 1 2 0.44096 1 2
 78 0.46291 1 2 0.53709 1 2
 79 0.51986 1 1 0.48014 0 1
 80 0.41576 0 1 0.58424 1 1
 81 0.35663 0 1 0.64337 1 1
 82 0.35450 0 1 0.64550 1 1
 83 0.58018 0 0 0.41982 0 0
 84 0.17971 0 1 0.82029 0 1
 85 0.49384 0 1 0.50616 0 1
 86 0.46396 0 0 0.53604 0 0
 87 0.35951 0 1 0.64049 0 1
 88 0.21459 0 0 0.78541 0 0
 89 0.56371 0 0 0.43629 0 0
 90 0.14643 0 0 0.85357 0 0
 91 0.71916 0 0 0.28084 0 0
 92 0.54902 0 0 0.45098 0 0
 93 NaNq 0 0 NaNq 0 0
 94 0.00000 0 0 1.00000 0 0
 95 0.00000 0 0 1.00000 0 0
