# DKFchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:52:56 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.39202 1 3 0.60798 2 3
 52 0.34118 1 4 0.65882 2 4
 53 0.41207 1 3 0.58793 2 3
 54 0.38704 1 3 0.61296 2 3
 55 0.33721 1 3 0.66279 2 3
 56 0.29826 1 2 0.70174 2 2
 57 0.31831 1 3 0.68169 2 3
 58 0.20463 1 3 0.79537 2 3
 59 0.37595 1 3 0.62405 2 3
 60 0.22551 1 3 0.77449 2 3
 61 0.40491 1 3 0.59509 2 3
 62 0.28515 1 3 0.71485 2 3
 63 0.30803 1 3 0.69197 2 3
 64 0.20930 1 3 0.79070 2 3
 65 0.25947 1 3 0.74053 2 3
 66 0.26520 1 3 0.73480 2 3
 67 0.18255 0 2 0.81745 2 2
 68 0.21734 1 3 0.78266 2 3
 69 0.18822 1 3 0.81178 3 3
 70 0.23189 1 2 0.76811 2 2
 71 0.16469 0 2 0.83531 2 2
 72 0.15213 0 2 0.84787 2 2
 73 0.20043 0 2 0.79957 2 2
 74 0.18750 0 2 0.81250 2 2
 75 0.14418 0 2 0.85582 1 2
 76 0.06863 0 2 0.93137 2 2
 77 0.13605 0 2 0.86395 1 2
 78 0.26876 0 1 0.73124 1 1
 79 0.09419 0 2 0.90581 1 2
 80 0.10824 0 1 0.89176 1 1
 81 0.12534 0 1 0.87466 1 1
 82 0.13696 0 2 0.86304 1 2
 83 0.07123 0 2 0.92877 1 2
 84 0.08460 0 1 0.91540 1 1
 85 0.09381 0 1 0.90619 1 1
 86 0.04305 0 1 0.95695 1 1
 87 0.00000 0 1 1.00000 1 1
 88 0.00000 0 0 1.00000 0 0
 89 0.30032 0 0 0.69968 0 0
 90 0.00000 0 0 1.00000 0 0
 91 0.10353 0 1 0.89647 1 1
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.00000 0 0 1.00000 0 0
 95 0.33333 0 0 0.66667 0 0
 96 0.00000 0 0 1.00000 0 0
 97 0.66667 0 0 0.33333 0 0
 98 0.00000 0 0 1.00000 0 0
 99 NaNq 0 0 NaNq 0 0
 100 NaNq 0 0 NaNq 0 0
 101 NaNq 0 0 NaNq 0 0
