# EEF.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Sat May 25 22:26:15 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.94499 3 3 0.05501 0 3
 52 0.93848 2 2 0.06152 0 2
 53 0.94912 2 2 0.05088 0 2
 54 0.90842 2 2 0.09158 0 2
 55 0.90797 2 2 0.09203 0 2
 56 0.93227 3 3 0.06773 0 3
 57 0.88093 2 2 0.11907 0 2
 58 0.88918 3 3 0.11082 0 3
 59 0.90126 2 3 0.09874 0 3
 60 0.96660 3 3 0.03340 0 3
 61 0.95105 3 3 0.04895 0 3
 62 0.92615 2 2 0.07385 0 2
 63 0.88889 2 2 0.11111 0 2
 64 0.91217 2 2 0.08783 0 2
 65 0.92955 2 3 0.07045 0 3
 66 0.88442 2 3 0.11558 0 3
 67 0.89477 3 3 0.10523 0 3
 68 0.83011 2 3 0.16989 0 3
 69 0.88350 2 2 0.11650 0 2
 70 0.94940 2 2 0.05060 0 2
 71 0.95105 1 1 0.04895 0 1
 72 0.83000 2 2 0.17000 0 2
 73 0.83164 2 3 0.16836 0 3
 74 0.81963 2 2 0.18037 0 2
 75 0.82798 2 3 0.17202 0 3
 76 0.83119 2 2 0.16881 0 2
 77 0.78960 2 2 0.21040 0 2
 78 0.68855 2 2 0.31145 1 2
 79 0.72586 1 2 0.27414 1 2
 80 0.72232 1 2 0.27768 1 2
 81 0.68432 1 2 0.31568 1 2
 82 0.59156 1 2 0.40844 1 2
 83 0.55927 1 2 0.44073 1 2
 84 0.63738 1 1 0.36262 1 1
 85 0.54559 1 1 0.45441 1 1
 86 0.67128 1 1 0.32872 0 1
 87 0.58505 1 1 0.41495 0 1
 88 0.54557 0 1 0.45443 0 1
 89 0.55158 0 1 0.44842 0 1
 90 0.64706 0 1 0.35294 0 1
 91 0.56244 0 0 0.43756 0 0
 92 0.57143 0 0 0.42857 0 0
 93 0.76879 0 0 0.23121 0 0
 94 1.00000 0 0 0.00000 0 0
 95 0.33498 0 0 0.66502 0 0
 96 0.00000 0 0 1.00000 0 0
 97 1.00000 0 0 0.00000 0 0
 98 NaNq 0 0 NaNq 0 0
 99 0.00000 0 0 1.00000 0 0
 100 0.00000 0 0 1.00000 0 0
 101 NaNq 0 0 NaNq 0 0
 102 NaNq 0 0 NaNq 0 0
 103 NaNq 0 0 NaNq 0 0
 104 0.00000 0 0 1.00000 0 0
