# EEFgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 10:58:32 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.86425 3 3 0.13575 0 3
 52 0.77329 2 2 0.22671 1 2
 53 0.80053 2 2 0.19947 0 2
 54 0.84273 2 2 0.15727 0 2
 55 0.92002 2 2 0.07998 0 2
 56 0.80368 2 3 0.19632 1 3
 57 0.77010 2 2 0.22990 1 2
 58 0.77327 2 3 0.22673 1 3
 59 0.75862 2 3 0.24138 1 3
 60 0.77005 2 3 0.22995 1 3
 61 0.79068 2 3 0.20932 1 3
 62 0.72163 2 2 0.27837 1 2
 63 0.77189 2 2 0.22811 0 2
 64 0.79280 2 2 0.20720 1 2
 65 0.83694 2 3 0.16306 0 3
 66 0.75998 2 3 0.24002 1 3
 67 0.76178 2 3 0.23822 1 3
 68 0.75926 2 3 0.24074 1 3
 69 0.70067 2 2 0.29933 1 2
 70 0.81014 2 2 0.18986 0 2
 71 0.81602 1 1 0.18398 0 1
 72 0.75273 2 2 0.24727 1 2
 73 0.72461 2 3 0.27539 1 3
 74 0.73326 1 2 0.26674 1 2
 75 0.66946 2 3 0.33054 1 3
 76 0.70326 2 3 0.29674 1 3
 77 0.61066 1 2 0.38934 1 2
 78 0.60974 1 2 0.39026 1 2
 79 0.63487 1 2 0.36513 1 2
 80 0.59787 1 2 0.40213 1 2
 81 0.51497 1 2 0.48503 1 2
 82 0.45208 1 2 0.54792 1 2
 83 0.32186 1 2 0.67814 1 2
 84 0.53254 1 1 0.46746 1 1
 85 0.50003 1 1 0.49997 1 1
 86 0.35647 0 1 0.64353 1 1
 87 0.45480 0 1 0.54520 1 1
 88 0.34099 0 1 0.65901 1 1
 89 0.51737 0 1 0.48263 0 1
 90 0.47059 0 1 0.52941 0 1
 91 0.25070 0 0 0.74930 0 0
 92 0.42857 0 0 0.57143 0 0
 93 0.61503 0 0 0.38497 0 0
 94 1.00000 0 0 0.00000 0 0
 95 0.33498 0 0 0.66502 0 0
 96 0.00000 0 0 1.00000 0 0
 97 1.00000 0 0 0.00000 0 0
 98 NaNq 0 0 NaNq 0 0
 99 0.00000 0 0 1.00000 0 0
 100 1.00000 0 0 0.00000 0 0
 101 NaNq 0 0 NaNq 0 0
 102 NaNq 0 0 NaNq 0 0
 103 NaNq 0 0 NaNq 0 0
 104 0.00000 0 0 1.00000 0 0
