# EEMchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:03:20 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.35521 1 3 0.64479 2 3
 52 0.36646 1 3 0.63354 2 3
 53 0.40161 2 4 0.59839 2 4
 54 0.36342 1 4 0.63658 3 4
 55 0.39703 1 2 0.60297 1 2
 56 0.34674 1 3 0.65326 2 3
 57 0.29390 1 4 0.70610 3 4
 58 0.31955 1 4 0.68045 3 4
 59 0.31265 1 3 0.68735 2 3
 60 0.19620 1 3 0.80380 3 3
 61 0.26600 1 2 0.73400 2 2
 62 0.30255 1 3 0.69745 2 3
 63 0.27394 1 3 0.72606 2 3
 64 0.17229 0 3 0.82771 2 3
 65 0.27666 1 3 0.72334 2 3
 66 0.19531 1 3 0.80469 2 3
 67 0.21491 1 3 0.78509 2 3
 68 0.20903 1 3 0.79097 2 3
 69 0.14547 0 3 0.85453 2 3
 70 0.22164 0 2 0.77836 2 2
 71 0.10344 0 2 0.89656 2 2
 72 0.08884 0 2 0.91116 2 2
 73 0.06391 0 1 0.93609 1 1
 74 0.25429 0 2 0.74571 1 2
 75 0.07565 0 2 0.92435 1 2
 76 0.09078 0 2 0.90922 1 2
 77 0.14998 0 1 0.85002 1 1
 78 0.17763 0 2 0.82237 2 2
 79 0.05057 0 2 0.94943 2 2
 80 0.03576 0 1 0.96424 1 1
 81 0.17271 0 1 0.82729 1 1
 82 0.02418 0 1 0.97582 1 1
 83 0.09225 0 1 0.90775 1 1
 84 0.06751 0 1 0.93249 1 1
 85 0.18538 0 1 0.81462 1 1
 86 0.00000 0 1 1.00000 1 1
 87 0.04842 0 1 0.95158 0 1
 88 0.00000 0 0 1.00000 0 0
 89 0.23278 0 0 0.76722 0 0
 90 0.00000 0 0 1.00000 0 0
 91 0.00000 0 0 1.00000 0 0
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.00000 0 0 1.00000 0 0
 95 0.00000 0 0 1.00000 0 0
 96 NaNq 0 0 NaNq 0 0
 97 NaNq 0 0 NaNq 0 0
 98 NaNq 0 0 NaNq 0 0
