# EEMsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 20:51:16 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.57424 2 3 0.42576 1 3
 52 0.42633 1 3 0.57367 2 3
 53 0.45334 2 4 0.54666 2 4
 54 0.49539 2 4 0.50461 2 4
 55 0.60874 1 2 0.39126 1 2
 56 0.32740 1 3 0.67260 2 3
 57 0.45006 2 4 0.54994 2 4
 58 0.28838 1 4 0.71162 3 4
 59 0.27706 1 3 0.72294 2 3
 60 0.30703 1 3 0.69297 2 3
 61 0.24931 1 2 0.75069 2 2
 62 0.40028 1 3 0.59972 2 3
 63 0.37765 1 3 0.62235 2 3
 64 0.42931 1 3 0.57069 2 3
 65 0.33446 1 3 0.66554 2 3
 66 0.23443 1 3 0.76557 2 3
 67 0.23976 1 3 0.76024 2 3
 68 0.20627 1 3 0.79373 2 3
 69 0.31823 1 3 0.68177 2 3
 70 0.18007 0 2 0.81993 2 2
 71 0.13564 0 2 0.86436 2 2
 72 0.16094 0 2 0.83906 1 2
 73 0.10678 0 1 0.89322 1 1
 74 0.15878 0 2 0.84122 2 2
 75 0.18529 0 2 0.81471 1 2
 76 0.14685 0 2 0.85315 1 2
 77 0.22462 0 1 0.77538 1 1
 78 0.19377 0 2 0.80623 1 2
 79 0.13535 0 2 0.86465 2 2
 80 0.15202 0 1 0.84798 1 1
 81 0.17157 0 1 0.82843 1 1
 82 0.08670 0 1 0.91330 1 1
 83 0.02306 0 1 0.97694 1 1
 84 0.08984 0 1 0.91016 1 1
 85 0.05168 0 1 0.94832 1 1
 86 0.07484 0 1 0.92516 1 1
 87 0.00000 0 1 1.00000 1 1
 88 0.08483 0 0 0.91517 0 0
 89 0.23278 0 0 0.76722 0 0
 90 0.00000 0 0 1.00000 0 0
 91 0.00000 0 0 1.00000 0 0
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.00000 0 0 1.00000 0 0
 95 0.00000 0 0 1.00000 0 0
 96 NaNq 0 0 NaNq 0 0
 97 NaNq 0 0 NaNq 0 0
 98 NaNq 0 0 NaNq 0 0
