# ESF.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Sat May 25 22:26:15 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.99944 3 3 0.00056 0 3
 52 0.98375 2 2 0.01625 0 2
 53 0.99973 1 1 0.00027 0 1
 54 0.99170 5 5 0.00830 0 5
 55 1.00000 6 6 0.00000 0 6
 56 0.99612 5 5 0.00388 0 5
 57 0.84447 3 4 0.15553 1 4
 58 0.99465 1 1 0.00535 0 1
 59 0.99565 1 1 0.00435 0 1
 60 0.92536 1 1 0.07464 0 1
 61 0.92713 2 3 0.07287 0 3
 62 0.94835 2 2 0.05165 0 2
 63 0.92986 2 2 0.07014 0 2
 64 0.90665 2 2 0.09335 0 2
 65 0.98483 2 2 0.01517 0 2
 66 0.97913 3 3 0.02087 0 3
 67 0.88915 2 2 0.11085 0 2
 68 0.86505 2 2 0.13495 0 2
 69 0.95798 2 2 0.04202 0 2
 70 0.93039 2 2 0.06961 0 2
 71 0.87956 2 2 0.12044 0 2
 72 0.95737 2 2 0.04263 0 2
 73 0.87030 2 2 0.12970 0 2
 74 0.73396 1 1 0.26604 0 1
 75 0.81472 1 2 0.18528 0 2
 76 0.77637 1 2 0.22363 0 2
 77 0.89858 1 2 0.10142 0 2
 78 0.82066 2 2 0.17934 0 2
 79 0.89210 2 2 0.10790 0 2
 80 0.75654 2 2 0.24346 1 2
 81 0.61408 1 2 0.38592 1 2
 82 0.63148 1 2 0.36852 1 2
 83 0.71435 1 1 0.28565 0 1
 84 0.78358 1 1 0.21642 0 1
 85 0.47852 1 1 0.52148 1 1
 86 0.72596 1 1 0.27404 0 1
 87 0.52436 1 1 0.47564 1 1
 88 0.60234 1 1 0.39766 0 1
 89 0.56242 0 1 0.43758 0 1
 90 0.30632 0 1 0.69368 1 1
 91 0.31141 0 1 0.68859 0 1
 92 0.76020 0 0 0.23980 0 0
 93 0.15444 0 0 0.84556 0 0
 94 0.09411 0 0 0.90589 0 0
 95 0.49478 0 0 0.50522 0 0
 96 0.21442 0 0 0.78558 0 0
 97 0.00000 0 0 1.00000 0 0
 98 0.00000 0 0 1.00000 0 0
 99 0.00000 0 0 1.00000 0 0
 100 NaNq 0 0 NaNq 0 0
 101 1.00000 0 0 0.00000 0 0
 102 0.00000 0 0 1.00000 0 0
 103 NaNq 0 0 NaNq 0 0
 104 NaNq 0 0 NaNq 0 0
 105 0.00000 0 0 1.00000 0 0
