# ESFchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:27:49 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.42691 1 3 0.57309 2 3
 52 0.66195 2 2 0.33805 1 2
 53 0.35708 1 1 0.64292 1 1
 54 0.55239 3 5 0.44761 2 5
 55 0.25680 2 6 0.74320 5 6
 56 0.44021 2 5 0.55979 3 5
 57 0.40092 1 4 0.59908 2 4
 58 0.33429 0 1 0.66571 1 1
 59 0.39756 0 1 0.60244 0 1
 60 0.42398 1 1 0.57602 1 1
 61 0.29872 1 3 0.70128 2 3
 62 0.30739 1 2 0.69261 1 2
 63 0.12100 0 2 0.87900 2 2
 64 0.16501 0 2 0.83499 2 2
 65 0.18971 0 2 0.81029 2 2
 66 0.20633 1 3 0.79367 2 3
 67 0.00509 0 2 0.99491 2 2
 68 0.09838 0 2 0.90162 2 2
 69 0.05947 0 2 0.94053 2 2
 70 0.06813 0 2 0.93187 2 2
 71 0.11377 0 2 0.88623 2 2
 72 0.11869 0 2 0.88131 2 2
 73 0.14463 0 2 0.85537 2 2
 74 0.00671 0 1 0.99329 1 1
 75 0.06293 0 2 0.93707 2 2
 76 0.02342 0 2 0.97658 2 2
 77 0.06889 0 2 0.93111 2 2
 78 0.00600 0 2 0.99400 2 2
 79 0.03667 0 2 0.96333 2 2
 80 0.00340 0 2 0.99660 2 2
 81 0.00173 0 2 0.99827 2 2
 82 0.05483 0 2 0.94517 2 2
 83 0.02968 0 1 0.97032 1 1
 84 0.05419 0 1 0.94581 1 1
 85 0.00178 0 1 0.99822 1 1
 86 0.05347 0 1 0.94653 1 1
 87 0.00026 0 1 0.99974 1 1
 88 0.09094 0 1 0.90906 1 1
 89 0.04691 0 1 0.95309 1 1
 90 0.00102 0 1 0.99898 1 1
 91 0.00000 0 1 1.00000 1 1
 92 0.00117 0 0 0.99883 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.01758 0 0 0.98242 0 0
 95 0.49038 0 0 0.50962 0 0
 96 0.00000 0 0 1.00000 0 0
 97 0.00000 0 0 1.00000 0 0
 98 0.00000 0 0 1.00000 0 0
 99 0.00000 0 0 1.00000 0 0
 100 NaNq 0 0 NaNq 0 0
 101 0.00000 0 0 1.00000 0 0
 102 0.00000 0 0 1.00000 0 0
 103 NaNq 0 0 NaNq 0 0
 104 NaNq 0 0 NaNq 0 0
 105 0.00000 0 0 1.00000 0 0
