# ESFgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 10:58:33 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 3 3 0.00000 0 3
 52 0.98799 2 2 0.01201 0 2
 53 1.00000 1 1 0.00000 0 1
 54 1.00000 5 5 0.00000 0 5
 55 0.99957 6 6 0.00043 0 6
 56 0.99362 5 5 0.00638 0 5
 57 0.88124 3 4 0.11876 0 4
 58 1.00000 1 1 0.00000 0 1
 59 0.99969 1 1 0.00031 0 1
 60 0.99701 1 1 0.00299 0 1
 61 0.96482 3 3 0.03518 0 3
 62 0.98339 2 2 0.01661 0 2
 63 0.96813 2 2 0.03187 0 2
 64 0.98908 2 2 0.01092 0 2
 65 0.96571 2 2 0.03429 0 2
 66 0.99151 3 3 0.00849 0 3
 67 0.91456 2 2 0.08544 0 2
 68 0.93126 2 2 0.06874 0 2
 69 0.95580 2 2 0.04420 0 2
 70 0.96000 2 2 0.04000 0 2
 71 0.90209 2 2 0.09791 0 2
 72 0.96785 2 2 0.03215 0 2
 73 0.88004 2 2 0.11996 0 2
 74 0.93127 1 1 0.06873 0 1
 75 0.95837 2 2 0.04163 0 2
 76 0.77785 1 2 0.22215 0 2
 77 0.92687 2 2 0.07313 0 2
 78 0.92768 2 2 0.07232 0 2
 79 0.94925 2 2 0.05075 0 2
 80 0.88693 2 2 0.11307 0 2
 81 0.79574 2 2 0.20426 0 2
 82 0.75308 1 2 0.24692 0 2
 83 0.88874 1 1 0.11126 0 1
 84 0.88979 1 1 0.11021 0 1
 85 0.78854 1 1 0.21146 0 1
 86 0.90096 1 1 0.09904 0 1
 87 0.74763 1 1 0.25237 0 1
 88 0.76459 1 1 0.23541 0 1
 89 0.65652 1 1 0.34348 0 1
 90 0.64880 1 1 0.35120 0 1
 91 0.60926 0 1 0.39074 0 1
 92 0.84057 0 0 0.15943 0 0
 93 0.78636 0 0 0.21364 0 0
 94 0.46146 0 0 0.53854 0 0
 95 0.95458 0 0 0.04542 0 0
 96 1.00000 0 0 0.00000 0 0
 97 0.00000 0 0 1.00000 0 0
 98 0.00481 0 0 0.99519 0 0
 99 0.00000 0 0 1.00000 0 0
 100 NaNq 0 0 NaNq 0 0
 101 1.00000 0 0 0.00000 0 0
 102 0.00000 0 0 1.00000 0 0
 103 NaNq 0 0 NaNq 0 0
 104 NaNq 0 0 NaNq 0 0
 105 0.00000 0 0 1.00000 0 0
