# ESM.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Sat May 25 22:26:15 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 1 1 0.00000 0 1
 52 1.00000 0 0 0.00000 0 0
 53 0.97898 0 0 0.02102 0 0
 54 0.99742 6 6 0.00258 0 6
 55 1.00000 5 5 0.00000 0 5
 56 0.94390 9 9 0.05610 1 9
 57 0.96536 7 8 0.03464 0 8
 58 0.98156 2 2 0.01844 0 2
 59 0.97596 1 1 0.02404 0 1
 60 0.99724 1 1 0.00276 0 1
 61 0.94764 2 2 0.05236 0 2
 62 0.93599 2 2 0.06401 0 2
 63 0.99252 2 2 0.00748 0 2
 64 0.77218 3 4 0.22782 1 4
 65 0.96950 2 2 0.03050 0 2
 66 0.95493 2 2 0.04507 0 2
 67 1.00000 3 3 0.00000 0 3
 68 0.88332 2 2 0.11668 0 2
 69 0.92824 2 2 0.07176 0 2
 70 0.86899 2 2 0.13101 0 2
 71 0.87276 1 2 0.12724 0 2
 72 0.82937 2 2 0.17063 0 2
 73 0.88629 1 1 0.11371 0 1
 74 0.91408 2 2 0.08592 0 2
 75 0.85034 2 2 0.14966 0 2
 76 0.95914 1 1 0.04086 0 1
 77 0.93359 1 2 0.06641 0 2
 78 0.87158 2 2 0.12842 0 2
 79 0.85294 2 2 0.14706 0 2
 80 0.93643 1 1 0.06357 0 1
 81 0.72307 1 1 0.27693 0 1
 82 0.82725 1 2 0.17275 0 2
 83 0.63126 1 1 0.36874 0 1
 84 0.80882 1 1 0.19118 0 1
 85 0.56200 1 1 0.43800 0 1
 86 0.70283 1 1 0.29717 0 1
 87 0.83125 1 1 0.16875 0 1
 88 0.59883 0 1 0.40117 0 1
 89 0.37791 0 0 0.62209 0 0
 90 0.78796 0 0 0.21204 0 0
 91 0.64818 0 0 0.35182 0 0
 92 0.74994 0 0 0.25006 0 0
 93 0.80708 0 0 0.19292 0 0
 94 0.38104 0 0 0.61896 0 0
 95 0.34400 0 0 0.65600 0 0
 96 0.00000 0 0 1.00000 0 0
 97 0.00000 0 0 1.00000 0 0
 98 NaNq 0 0 NaNq 0 0
 99 1.00000 0 0 0.00000 0 0
 100 NaNq 0 0 NaNq 0 0
 101 NaNq 0 0 NaNq 0 0
 102 0.00000 0 0 1.00000 0 0
