# ESMchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:03:20 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.00364 0 1 0.99636 1 1
 52 0.35661 0 0 0.64339 0 0
 53 0.11980 0 0 0.88020 0 0
 54 0.19467 1 6 0.80533 5 6
 55 0.48050 2 5 0.51950 3 5
 56 0.26493 2 9 0.73507 7 9
 57 0.36855 3 7 0.63145 4 7
 58 0.57247 1 2 0.42753 1 2
 59 0.35255 0 1 0.64745 1 1
 60 0.13350 0 1 0.86650 1 1
 61 0.23010 0 2 0.76990 1 2
 62 0.21924 1 2 0.78076 2 2
 63 0.08587 0 2 0.91413 2 2
 64 0.23180 1 4 0.76820 3 4
 65 0.16207 0 2 0.83793 2 2
 66 0.18080 0 2 0.81920 2 2
 67 0.24501 1 3 0.75499 2 3
 68 0.17417 0 2 0.82583 2 2
 69 0.11896 0 2 0.88104 2 2
 70 0.11264 0 2 0.88736 2 2
 71 0.05937 0 2 0.94063 1 2
 72 0.07851 0 2 0.92149 2 2
 73 0.04819 0 1 0.95181 1 1
 74 0.05794 0 2 0.94206 2 2
 75 0.07374 0 2 0.92626 2 2
 76 0.20625 0 1 0.79375 1 1
 77 0.14974 0 2 0.85026 1 2
 78 0.08278 0 2 0.91722 2 2
 79 0.01771 0 2 0.98229 2 2
 80 0.07257 0 1 0.92743 1 1
 81 0.08963 0 1 0.91037 1 1
 82 0.11761 0 2 0.88239 1 2
 83 0.10899 0 1 0.89101 1 1
 84 0.23161 0 1 0.76839 1 1
 85 0.01038 0 1 0.98962 1 1
 86 0.10227 0 1 0.89773 1 1
 87 0.36048 0 1 0.63952 0 1
 88 0.07549 0 1 0.92451 1 1
 89 0.00000 0 0 1.00000 0 0
 90 0.00606 0 0 0.99394 0 0
 91 0.07262 0 0 0.92738 0 0
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.00000 0 0 1.00000 0 0
 95 0.00000 0 0 1.00000 0 0
 96 0.00000 0 0 1.00000 0 0
 97 0.00000 0 0 1.00000 0 0
 98 NaNq 0 0 NaNq 0 0
 99 0.00000 0 0 1.00000 0 0
 100 NaNq 0 0 NaNq 0 0
 101 NaNq 0 0 NaNq 0 0
 102 0.00000 0 0 1.00000 0 0
