# ESMsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 20:51:16 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.00364 0 1 0.99636 1 1
 52 0.70237 0 0 0.29763 0 0
 53 0.21759 0 0 0.78241 0 0
 54 0.63682 4 6 0.36318 2 6
 55 0.68558 3 5 0.31442 2 5
 56 0.75413 7 9 0.24587 2 9
 57 0.65600 5 8 0.34400 3 8
 58 0.96745 2 2 0.03255 0 2
 59 0.70248 1 1 0.29752 0 1
 60 0.50855 0 1 0.49145 0 1
 61 0.74205 1 2 0.25795 0 2
 62 0.70920 2 2 0.29080 1 2
 63 0.71280 2 2 0.28720 1 2
 64 0.64094 2 4 0.35906 1 4
 65 0.78925 2 2 0.21075 0 2
 66 0.55153 1 2 0.44847 1 2
 67 0.71064 2 3 0.28936 1 3
 68 0.69453 2 2 0.30547 1 2
 69 0.67960 2 2 0.32040 1 2
 70 0.63152 1 2 0.36848 1 2
 71 0.63601 1 2 0.36399 1 2
 72 0.59555 1 2 0.40445 1 2
 73 0.62574 1 1 0.37426 0 1
 74 0.51404 1 2 0.48596 1 2
 75 0.56816 1 2 0.43184 1 2
 76 0.48320 1 1 0.51680 1 1
 77 0.60099 1 2 0.39901 1 2
 78 0.59530 1 2 0.40470 1 2
 79 0.49798 1 2 0.50202 1 2
 80 0.57271 1 1 0.42729 0 1
 81 0.51167 0 1 0.48833 0 1
 82 0.43830 1 2 0.56170 1 2
 83 0.44540 1 1 0.55460 1 1
 84 0.36027 0 1 0.63973 1 1
 85 0.31773 0 1 0.68227 1 1
 86 0.30228 0 1 0.69772 1 1
 87 0.65363 0 1 0.34637 0 1
 88 0.65164 0 1 0.34836 0 1
 89 0.34538 0 0 0.65462 0 0
 90 0.20555 0 0 0.79445 0 0
 91 0.38342 0 0 0.61658 0 0
 92 0.74994 0 0 0.25006 0 0
 93 0.23390 0 0 0.76610 0 0
 94 0.37181 0 0 0.62819 0 0
 95 0.34400 0 0 0.65600 0 0
 96 0.00000 0 0 1.00000 0 0
 97 0.00000 0 0 1.00000 0 0
 98 NaNq 0 0 NaNq 0 0
 99 1.00000 0 0 0.00000 0 0
 100 NaNq 0 0 NaNq 0 0
 101 NaNq 0 0 NaNq 0 0
 102 0.00000 0 0 1.00000 0 0
