# FRF.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Sat May 25 22:26:15 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 2 2 0.00000 0 2
 52 0.88452 3 3 0.11548 0 3
 53 0.93771 3 3 0.06229 0 3
 54 0.95544 3 3 0.04456 0 3
 55 0.98634 2 2 0.01366 0 2
 56 0.92314 2 3 0.07686 0 3
 57 0.93572 2 2 0.06428 0 2
 58 0.97189 2 2 0.02811 0 2
 59 0.96561 2 2 0.03439 0 2
 60 0.87665 2 2 0.12335 0 2
 61 0.95787 3 3 0.04213 0 3
 62 0.90245 2 3 0.09755 0 3
 63 0.91352 2 3 0.08648 0 3
 64 0.90985 3 3 0.09015 0 3
 65 0.92182 2 2 0.07818 0 2
 66 0.94302 3 3 0.05698 0 3
 67 0.91456 2 3 0.08544 0 3
 68 0.95747 2 2 0.04253 0 2
 69 0.96152 2 2 0.03848 0 2
 70 0.91136 1 2 0.08864 0 2
 71 0.93130 2 2 0.06870 0 2
 72 0.82668 2 2 0.17332 0 2
 73 0.93101 1 1 0.06899 0 1
 74 0.74451 1 2 0.25549 0 2
 75 0.86325 1 2 0.13675 0 2
 76 0.79874 1 1 0.20126 0 1
 77 0.73237 1 2 0.26763 0 2
 78 0.84689 1 1 0.15311 0 1
 79 0.84231 1 2 0.15769 0 2
 80 0.75390 1 2 0.24610 0 2
 81 0.63591 1 1 0.36409 1 1
 82 0.96741 1 1 0.03259 0 1
 83 0.66821 1 1 0.33179 0 1
 84 0.73220 1 1 0.26780 0 1
 85 0.77090 1 1 0.22910 0 1
 86 0.58870 1 1 0.41130 0 1
 87 0.72664 1 1 0.27336 0 1
 88 0.54995 0 1 0.45005 0 1
 89 0.51197 0 1 0.48803 0 1
 90 0.50527 0 1 0.49473 0 1
 91 0.09861 0 1 0.90139 1 1
 92 0.45043 0 1 0.54957 0 1
 93 0.34338 0 0 0.65662 0 0
 94 0.39316 0 0 0.60684 0 0
 95 0.40093 0 0 0.59907 0 0
 96 0.00000 0 0 1.00000 0 0
 97 NaNq 0 0 NaNq 0 0
 98 0.00000 0 0 1.00000 0 0
 99 0.00000 0 0 1.00000 0 0
 100 NaNq 0 0 NaNq 0 0
