# FRFgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 10:58:33 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.89922 2 2 0.10078 0 2
 52 0.85799 3 3 0.14201 0 3
 53 0.93137 3 3 0.06863 0 3
 54 0.90235 3 3 0.09765 0 3
 55 0.97337 2 2 0.02663 0 2
 56 0.84055 2 3 0.15945 0 3
 57 0.95203 2 2 0.04797 0 2
 58 0.97105 2 2 0.02895 0 2
 59 0.89942 2 2 0.10058 0 2
 60 0.93773 2 2 0.06227 0 2
 61 0.92240 3 3 0.07760 0 3
 62 0.92242 2 3 0.07758 0 3
 63 0.83758 2 3 0.16242 0 3
 64 0.87451 3 3 0.12549 0 3
 65 0.91981 2 2 0.08019 0 2
 66 0.94973 3 3 0.05027 0 3
 67 0.91432 2 3 0.08568 0 3
 68 0.92381 2 2 0.07619 0 2
 69 0.92379 2 2 0.07621 0 2
 70 0.84314 1 2 0.15686 0 2
 71 0.92885 2 2 0.07115 0 2
 72 0.87420 2 2 0.12580 0 2
 73 0.86670 1 1 0.13330 0 1
 74 0.87484 1 2 0.12516 0 2
 75 0.71656 1 2 0.28344 0 2
 76 0.77703 1 1 0.22297 0 1
 77 0.79280 1 2 0.20720 0 2
 78 0.77478 1 1 0.22522 0 1
 79 0.75979 1 2 0.24021 0 2
 80 0.82593 1 2 0.17407 0 2
 81 0.69187 1 2 0.30813 0 2
 82 0.71824 1 1 0.28176 0 1
 83 0.68817 1 1 0.31183 0 1
 84 0.74177 1 1 0.25823 0 1
 85 0.59607 1 1 0.40393 0 1
 86 0.69033 1 1 0.30967 0 1
 87 0.53548 0 1 0.46452 0 1
 88 0.67871 1 1 0.32129 0 1
 89 0.52334 0 1 0.47666 0 1
 90 0.44062 0 1 0.55938 0 1
 91 0.27801 0 1 0.72199 1 1
 92 0.33897 0 1 0.66103 0 1
 93 0.16915 0 0 0.83085 0 0
 94 0.71081 0 0 0.28919 0 0
 95 0.40093 0 0 0.59907 0 0
 96 0.00000 0 0 1.00000 0 0
 97 NaNq 0 0 NaNq 0 0
 98 NaNq 0 0 NaNq 0 0
 99 0.00000 0 0 1.00000 0 0
