# FRMgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 13:09:03 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.95059 3 3 0.04941 0 3
 52 0.83297 3 3 0.16703 1 3
 53 1.00000 2 2 0.00000 0 2
 54 0.89955 3 3 0.10045 0 3
 55 0.91341 3 3 0.08659 0 3
 56 0.82111 3 4 0.17889 1 4
 57 0.95603 2 3 0.04397 0 3
 58 0.97529 1 1 0.02471 0 1
 59 0.89567 2 2 0.10433 0 2
 60 0.90076 2 3 0.09924 0 3
 61 0.89737 3 3 0.10263 0 3
 62 0.83977 3 3 0.16023 1 3
 63 0.84593 3 3 0.15407 0 3
 64 0.89883 3 4 0.10117 0 4
 65 0.88061 3 3 0.11939 0 3
 66 0.88062 2 2 0.11938 0 2
 67 0.85401 2 3 0.14599 0 3
 68 0.93946 2 3 0.06054 0 3
 69 0.92195 2 2 0.07805 0 2
 70 0.91227 2 2 0.08773 0 2
 71 0.86454 1 2 0.13546 0 2
 72 0.75779 2 2 0.24221 0 2
 73 0.74138 1 1 0.25862 0 1
 74 0.82253 1 1 0.17747 0 1
 75 0.80236 1 2 0.19764 0 2
 76 0.73330 1 2 0.26670 0 2
 77 0.77470 1 1 0.22530 0 1
 78 0.84636 1 1 0.15364 0 1
 79 0.85928 1 1 0.14072 0 1
 80 0.74663 1 1 0.25337 0 1
 81 0.64132 1 1 0.35868 0 1
 82 0.85063 1 1 0.14937 0 1
 83 0.64900 1 1 0.35100 0 1
 84 0.78417 1 1 0.21583 0 1
 85 0.60047 0 0 0.39953 0 0
 86 0.81547 0 0 0.18453 0 0
 87 0.47786 0 1 0.52214 0 1
 88 0.69450 0 0 0.30550 0 0
 89 0.50313 0 0 0.49687 0 0
 90 0.68369 0 0 0.31631 0 0
 91 0.40916 0 0 0.59084 0 0
 92 1.00000 0 0 0.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.15661 0 0 0.84339 0 0
 95 0.00000 0 0 1.00000 0 0
 96 NaNq 0 0 NaNq 0 0
 97 1.00000 0 0 0.00000 0 0
