# GRMsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 20:51:16 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.97900 2 2 0.02100 0 2
 52 0.81330 1 1 0.18670 0 1
 53 0.91300 1 1 0.08700 0 1
 54 0.82919 1 1 0.17081 0 1
 55 0.95080 2 2 0.04920 0 2
 56 0.86964 1 1 0.13036 0 1
 57 0.84401 1 1 0.15599 0 1
 58 0.91309 1 1 0.08691 0 1
 59 0.83975 1 1 0.16025 0 1
 60 0.77870 1 1 0.22130 0 1
 61 0.89445 1 2 0.10555 0 2
 62 0.82944 2 2 0.17056 0 2
 63 0.88668 2 3 0.11332 0 3
 64 0.84671 2 2 0.15329 0 2
 65 0.80404 2 2 0.19596 0 2
 66 0.74155 1 2 0.25845 0 2
 67 0.67781 1 2 0.32219 1 2
 68 0.65268 1 2 0.34732 1 2
 69 0.73593 2 2 0.26407 1 2
 70 0.61801 1 2 0.38199 1 2
 71 0.71674 1 2 0.28326 1 2
 72 0.68935 1 2 0.31065 1 2
 73 0.46608 1 2 0.53392 1 2
 74 0.70204 1 1 0.29796 0 1
 75 0.56604 1 1 0.43396 1 1
 76 0.51756 1 1 0.48244 1 1
 77 0.50899 1 2 0.49101 1 2
 78 0.44070 1 1 0.55930 1 1
 79 0.67185 1 1 0.32815 0 1
 80 0.57419 1 2 0.42581 1 2
 81 0.56827 1 2 0.43173 1 2
 82 0.43689 1 1 0.56311 1 1
 83 0.47513 0 1 0.52487 0 1
 84 0.51093 1 1 0.48907 1 1
 85 0.51926 1 1 0.48074 1 1
 86 0.29539 0 1 0.70461 1 1
 87 0.34855 0 1 0.65145 0 1
 88 0.50400 0 1 0.49600 0 1
 89 0.29204 0 1 0.70796 0 1
 90 0.10989 0 0 0.89011 0 0
 91 0.25597 0 0 0.74403 0 0
 92 0.71268 0 0 0.28732 0 0
 93 NaNq 0 0 NaNq 0 0
 94 NaNq 0 0 NaNq 0 0
 95 NaNq 0 0 NaNq 0 0
 96 NaNq 0 0 NaNq 0 0
 97 NaNq 0 0 NaNq 0 0
 98 0.00000 0 0 1.00000 0 0
