# HRFchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:44:43 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.28045 0 1 0.71955 1 1
 52 0.42136 2 4 0.57864 2 4
 53 0.35235 1 2 0.64765 2 2
 54 0.35161 1 3 0.64839 2 3
 55 0.37385 1 2 0.62615 2 2
 56 0.29300 1 2 0.70700 2 2
 57 0.30931 1 4 0.69069 3 4
 58 0.23443 1 3 0.76557 3 3
 59 0.16287 1 4 0.83713 3 4
 60 0.13111 0 3 0.86889 2 3
 61 0.20944 0 2 0.79056 2 2
 62 0.24613 0 2 0.75387 1 2
 63 0.18395 1 3 0.81605 3 3
 64 0.08290 0 3 0.91710 3 3
 65 0.13513 0 2 0.86487 2 2
 66 0.25411 1 2 0.74589 2 2
 67 0.06750 0 2 0.93250 2 2
 68 0.11994 0 2 0.88006 2 2
 69 0.11601 0 2 0.88399 2 2
 70 0.09816 0 2 0.90184 1 2
 71 0.10160 0 2 0.89840 2 2
 72 0.18052 0 2 0.81948 2 2
 73 0.02350 0 2 0.97650 2 2
 74 0.12048 0 3 0.87952 3 3
 75 0.03678 0 3 0.96322 3 3
 76 0.06726 0 3 0.93274 2 3
 77 0.00000 0 2 1.00000 2 2
 78 0.05364 0 2 0.94636 2 2
 79 0.14201 0 2 0.85799 1 2
 80 0.00000 0 1 1.00000 1 1
 81 0.11798 0 1 0.88202 1 1
 82 0.00000 0 2 1.00000 2 2
 83 0.22135 0 1 0.77865 1 1
 84 0.00000 0 1 1.00000 1 1
 85 0.00000 0 1 1.00000 1 1
 86 0.09677 0 1 0.90323 1 1
 87 0.31490 0 1 0.68510 0 1
 88 0.00000 0 1 1.00000 1 1
 89 0.00000 0 0 1.00000 0 0
 90 0.00000 0 0 1.00000 0 0
 91 0.00000 0 0 1.00000 0 0
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 NaNq 0 0 NaNq 0 0
 95 0.00000 0 0 1.00000 0 0
