# ITMchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:03:20 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.46618 1 2 0.53382 1 2
 52 0.39409 1 3 0.60591 2 3
 53 0.51837 3 6 0.48163 3 6
 54 0.42806 1 3 0.57194 2 3
 55 0.62769 2 2 0.37231 1 2
 56 0.50435 1 3 0.49565 1 3
 57 0.24546 1 2 0.75454 2 2
 58 0.31820 0 1 0.68180 1 1
 59 0.41840 1 2 0.58160 1 2
 60 0.47539 1 2 0.52461 1 2
 61 0.33270 1 2 0.66730 2 2
 62 0.43388 1 2 0.56612 1 2
 63 0.58189 2 3 0.41811 1 3
 64 0.30019 1 2 0.69981 2 2
 65 0.28751 1 3 0.71249 2 3
 66 0.34947 1 2 0.65053 2 2
 67 0.23421 1 3 0.76579 2 3
 68 0.18267 1 3 0.81733 2 3
 69 0.24531 1 2 0.75469 2 2
 70 0.29160 1 2 0.70840 1 2
 71 0.27937 1 2 0.72063 1 2
 72 0.27375 1 2 0.72625 1 2
 73 0.29052 1 2 0.70948 1 2
 74 0.16819 0 3 0.83181 2 3
 75 0.17297 0 3 0.82703 2 3
 76 0.21226 0 1 0.78774 1 1
 77 0.09165 0 2 0.90835 2 2
 78 0.13080 0 2 0.86920 1 2
 79 0.11896 0 1 0.88104 1 1
 80 0.11153 0 1 0.88847 1 1
 81 0.06492 0 2 0.93508 2 2
 82 0.16152 0 1 0.83848 1 1
 83 0.15081 0 1 0.84919 1 1
 84 0.19358 0 1 0.80642 1 1
 85 0.21260 0 1 0.78740 1 1
 86 0.26497 0 1 0.73503 0 1
 87 0.07194 0 1 0.92806 1 1
 88 0.14842 0 0 0.85158 0 0
 89 0.00000 0 0 1.00000 0 0
 90 0.00000 0 0 1.00000 0 0
 91 0.00000 0 0 1.00000 0 0
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.00000 0 0 1.00000 0 0
 95 NaNq 0 0 NaNq 0 0
 96 NaNq 0 0 NaNq 0 0
 97 0.00000 0 0 1.00000 0 0
