# ITMgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 10:58:33 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.94368 2 2 0.05632 0 2
 52 0.90815 3 3 0.09185 0 3
 53 0.98046 6 6 0.01954 0 6
 54 0.78964 2 3 0.21036 1 3
 55 0.99375 2 2 0.00625 0 2
 56 0.92826 2 3 0.07174 0 3
 57 0.86924 2 2 0.13076 0 2
 58 0.87569 1 1 0.12431 0 1
 59 0.82412 2 2 0.17588 0 2
 60 0.93292 2 2 0.06708 0 2
 61 0.94350 2 2 0.05650 0 2
 62 0.90531 2 2 0.09469 0 2
 63 0.95708 3 3 0.04292 0 3
 64 0.85162 2 2 0.14838 0 2
 65 0.91347 3 3 0.08653 0 3
 66 0.95198 2 2 0.04802 0 2
 67 0.95422 3 3 0.04578 0 3
 68 0.79066 2 3 0.20934 1 3
 69 0.88400 2 2 0.11600 0 2
 70 0.87987 2 2 0.12013 0 2
 71 0.83316 2 2 0.16684 0 2
 72 0.83697 2 2 0.16303 0 2
 73 0.93556 2 2 0.06444 0 2
 74 0.85428 2 3 0.14572 0 3
 75 0.74604 2 3 0.25396 1 3
 76 0.79260 1 1 0.20740 0 1
 77 0.80457 2 2 0.19543 0 2
 78 0.81833 1 2 0.18167 0 2
 79 0.75761 1 1 0.24239 0 1
 80 0.68718 1 1 0.31282 0 1
 81 0.80305 1 2 0.19695 0 2
 82 0.87278 1 1 0.12722 0 1
 83 0.67739 1 1 0.32261 0 1
 84 0.58392 1 1 0.41608 0 1
 85 0.83372 1 1 0.16628 0 1
 86 0.66711 0 1 0.33289 0 1
 87 0.87430 1 1 0.12570 0 1
 88 0.47728 0 0 0.52272 0 0
 89 0.70801 0 0 0.29199 0 0
 90 0.56918 0 0 0.43082 0 0
 91 0.19368 0 0 0.80632 0 0
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.67637 0 0 0.32363 0 0
 95 NaNq 0 0 NaNq 0 0
 96 NaNq 0 0 NaNq 0 0
 97 0.00000 0 0 1.00000 0 0
