# ITMsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 20:51:17 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.94368 2 2 0.05632 0 2
 52 0.64999 2 3 0.35001 1 3
 53 0.80420 5 6 0.19580 1 6
 54 0.74603 2 3 0.25397 1 3
 55 0.89225 2 2 0.10775 0 2
 56 0.77917 2 3 0.22083 1 3
 57 0.78113 2 2 0.21887 1 2
 58 0.76700 1 1 0.23300 0 1
 59 0.75193 2 2 0.24807 1 2
 60 0.70528 2 2 0.29472 1 2
 61 0.67468 2 2 0.32532 1 2
 62 0.62913 1 2 0.37087 1 2
 63 0.70943 2 3 0.29057 1 3
 64 0.69785 2 2 0.30215 1 2
 65 0.67294 2 3 0.32706 1 3
 66 0.73890 2 2 0.26110 1 2
 67 0.65511 2 3 0.34489 1 3
 68 0.55922 2 3 0.44078 1 3
 69 0.50405 1 2 0.49595 1 2
 70 0.61290 1 2 0.38710 1 2
 71 0.50916 1 2 0.49084 1 2
 72 0.60168 1 2 0.39832 1 2
 73 0.75707 1 2 0.24293 0 2
 74 0.56316 2 3 0.43684 1 3
 75 0.51633 1 3 0.48367 1 3
 76 0.56156 1 1 0.43844 1 1
 77 0.32979 1 2 0.67021 1 2
 78 0.57866 1 2 0.42134 1 2
 79 0.46816 1 1 0.53184 1 1
 80 0.31791 0 1 0.68209 1 1
 81 0.44242 1 2 0.55758 1 2
 82 0.50805 1 1 0.49195 1 1
 83 0.36077 0 1 0.63923 1 1
 84 0.34242 0 1 0.65758 1 1
 85 0.57236 1 1 0.42764 0 1
 86 0.32197 0 1 0.67803 0 1
 87 0.28737 0 1 0.71263 1 1
 88 0.14842 0 0 0.85158 0 0
 89 0.11111 0 0 0.88889 0 0
 90 0.54072 0 0 0.45928 0 0
 91 0.56871 0 0 0.43129 0 0
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 1.00000 0 0 0.00000 0 0
 95 NaNq 0 0 NaNq 0 0
 96 NaNq 0 0 NaNq 0 0
 97 0.00000 0 0 1.00000 0 0
