# PLMchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:03:21 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.59602 2 4 0.40398 1 4
 52 0.59415 2 3 0.40585 1 3
 53 0.44020 1 2 0.55980 1 2
 54 0.57615 2 3 0.42385 1 3
 55 0.28271 1 2 0.71729 2 2
 56 0.25514 1 5 0.74486 4 5
 57 0.27665 1 3 0.72335 2 3
 58 0.20844 1 3 0.79156 2 3
 59 0.17704 1 4 0.82296 4 4
 60 0.40663 2 4 0.59337 2 4
 61 0.11113 0 2 0.88887 2 2
 62 0.31735 1 5 0.68265 3 5
 63 0.16272 1 4 0.83728 3 4
 64 0.14000 0 2 0.86000 2 2
 65 0.32350 1 3 0.67650 2 3
 66 0.18143 0 3 0.81857 2 3
 67 0.10532 0 3 0.89468 2 3
 68 0.00000 0 2 1.00000 2 2
 69 0.09515 0 3 0.90485 2 3
 70 0.05375 0 2 0.94625 2 2
 71 0.12312 0 2 0.87688 2 2
 72 0.05929 0 1 0.94071 1 1
 73 0.20817 0 1 0.79183 1 1
 74 0.11810 0 1 0.88190 1 1
 75 0.00000 0 1 1.00000 1 1
 76 0.00000 0 1 1.00000 1 1
 77 0.15414 0 1 0.84586 1 1
 78 0.04234 0 2 0.95766 1 2
 79 0.11887 0 2 0.88113 2 2
 80 0.20531 0 1 0.79469 1 1
 81 0.00000 0 1 1.00000 1 1
 82 0.00000 0 1 1.00000 1 1
 83 0.06582 0 1 0.93418 1 1
 84 0.20904 0 1 0.79096 1 1
 85 0.13426 0 1 0.86574 0 1
 86 0.00000 0 0 1.00000 0 0
 87 0.00000 0 0 1.00000 0 0
 88 0.00000 0 0 1.00000 0 0
 89 0.50000 0 0 0.50000 0 0
 90 0.00000 0 0 1.00000 0 0
 91 0.00000 0 0 1.00000 0 0
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 NaNq 0 0 NaNq 0 0
 95 NaNq 0 0 NaNq 0 0
