# SEF.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Sun May 26 01:09:27 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 1 1 0.00000 0 1
 52 0.85766 1 1 0.14234 0 1
 53 1.00000 2 2 0.00000 0 2
 54 1.00000 3 3 0.00000 0 3
 55 1.00000 2 2 0.00000 0 2
 56 0.84892 2 2 0.15108 0 2
 57 0.95501 3 3 0.04499 0 3
 58 0.93381 3 3 0.06619 0 3
 59 0.91198 4 4 0.08802 0 4
 60 0.93489 2 2 0.06511 0 2
 61 0.93025 2 2 0.06975 0 2
 62 0.95461 2 2 0.04539 0 2
 63 0.90615 2 2 0.09385 0 2
 64 0.86312 2 3 0.13688 0 3
 65 0.92373 2 3 0.07627 0 3
 66 0.92728 2 3 0.07272 0 3
 67 0.94420 2 2 0.05580 0 2
 68 0.93191 3 3 0.06809 0 3
 69 0.87906 3 3 0.12094 0 3
 70 0.94296 3 3 0.05704 0 3
 71 0.93797 2 2 0.06203 0 2
 72 0.93721 2 2 0.06279 0 2
 73 0.93197 2 2 0.06803 0 2
 74 0.94324 2 2 0.05676 0 2
 75 0.91266 2 2 0.08734 0 2
 76 0.94322 2 2 0.05678 0 2
 77 0.90705 1 2 0.09295 0 2
 78 0.80879 1 1 0.19121 0 1
 79 0.86483 1 1 0.13517 0 1
 80 0.92145 1 1 0.07855 0 1
 81 0.70106 1 1 0.29894 0 1
 82 0.90237 1 1 0.09763 0 1
 83 0.92367 1 1 0.07633 0 1
 84 0.88780 1 1 0.11220 0 1
 85 0.75490 1 1 0.24510 0 1
 86 0.55736 1 1 0.44264 0 1
 87 0.72026 0 1 0.27974 0 1
 88 0.91116 1 1 0.08884 0 1
 89 0.77495 1 1 0.22505 0 1
 90 0.89647 1 1 0.10353 0 1
 91 0.53010 0 0 0.46990 0 0
 92 0.74739 0 0 0.25261 0 0
 93 0.68120 0 0 0.31880 0 0
 94 0.38760 0 0 0.61240 0 0
 95 NaNq 0 0 NaNq 0 0
 96 NaNq 0 0 NaNq 0 0
 97 0.66226 0 0 0.33774 0 0
 98 NaNq 0 0 NaNq 0 0
 99 NaNq 0 0 NaNq 0 0
 100 NaNq 0 0 NaNq 0 0
 101 NaNq 0 0 NaNq 0 0
 102 0.00000 0 0 1.00000 0 0
