# SEFchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:03:21 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.53486 1 1 0.46514 0 1
 52 0.35617 0 1 0.64383 1 1
 53 0.86013 2 2 0.13987 0 2
 54 0.60128 2 3 0.39872 1 3
 55 0.42755 1 2 0.57245 1 2
 56 0.53101 1 2 0.46899 1 2
 57 0.28517 1 3 0.71483 2 3
 58 0.41565 1 3 0.58435 2 3
 59 0.41639 2 4 0.58361 2 4
 60 0.43576 1 2 0.56424 1 2
 61 0.42509 1 2 0.57491 1 2
 62 0.19197 0 2 0.80803 2 2
 63 0.41046 1 2 0.58954 1 2
 64 0.24934 1 3 0.75066 2 3
 65 0.33234 1 3 0.66766 2 3
 66 0.31068 1 3 0.68932 2 3
 67 0.39753 1 2 0.60247 1 2
 68 0.38713 1 3 0.61287 2 3
 69 0.26936 1 3 0.73064 2 3
 70 0.28001 1 3 0.71999 2 3
 71 0.24114 1 2 0.75886 2 2
 72 0.12700 0 2 0.87300 2 2
 73 0.13979 0 2 0.86021 2 2
 74 0.32487 1 2 0.67513 1 2
 75 0.17121 0 2 0.82879 2 2
 76 0.27446 0 2 0.72554 1 2
 77 0.15016 0 2 0.84984 1 2
 78 0.09651 0 1 0.90349 1 1
 79 0.05581 0 1 0.94419 1 1
 80 0.13940 0 1 0.86060 1 1
 81 0.12244 0 1 0.87756 1 1
 82 0.03368 0 1 0.96632 1 1
 83 0.39248 1 1 0.60752 1 1
 84 0.08311 0 1 0.91689 1 1
 85 0.16842 0 1 0.83158 1 1
 86 0.00000 0 1 1.00000 1 1
 87 0.00000 0 1 1.00000 1 1
 88 0.40615 0 1 0.59385 0 1
 89 0.21285 0 1 0.78715 1 1
 90 0.14861 0 1 0.85139 1 1
 91 0.31457 0 0 0.68543 0 0
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.00000 0 0 1.00000 0 0
 95 NaNq 0 0 NaNq 0 0
 96 NaNq 0 0 NaNq 0 0
 97 0.00000 0 0 1.00000 0 0
 98 NaNq 0 0 NaNq 0 0
 99 NaNq 0 0 NaNq 0 0
 100 NaNq 0 0 NaNq 0 0
 101 NaNq 0 0 NaNq 0 0
 102 0.00000 0 0 1.00000 0 0
