# ATFadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.78711 0 1 0.21289 0 1
 52 1.00000 1 1 0.00000 0 1
 53 1.00000 1 1 0.00000 0 1
 54 1.00000 3 3 0.00000 0 3
 55 0.97514 5 5 0.02486 0 5
 56 0.91758 4 5 0.08242 0 5
 57 0.98038 4 4 0.01962 0 4
 58 0.88936 3 4 0.11064 0 4
 59 0.92004 4 4 0.07996 0 4
 60 0.93221 4 4 0.06779 0 4
 61 0.96343 2 2 0.03657 0 2
 62 0.98503 2 3 0.01497 0 3
 63 0.98634 2 2 0.01366 0 2
 64 0.94421 2 2 0.05579 0 2
 65 0.96496 2 2 0.03504 0 2
 66 0.96502 2 2 0.03498 0 2
 67 0.93910 2 2 0.06090 0 2
 68 0.96843 3 3 0.03157 0 3
 69 0.95784 2 2 0.04216 0 2
 70 0.91651 1 2 0.08349 0 2
 71 0.91840 2 2 0.08160 0 2
 72 0.95659 2 3 0.04341 0 3
 73 0.83996 2 2 0.16004 0 2
 74 0.87871 3 3 0.12129 0 3
 75 0.76972 2 2 0.23028 0 2
 76 0.87567 2 2 0.12433 0 2
 77 0.90518 2 2 0.09482 0 2
 78 0.88171 1 1 0.11829 0 1
 79 0.92973 1 1 0.07027 0 1
 80 0.87475 1 1 0.12525 0 1
 81 0.55399 1 1 0.44601 1 1
 82 0.78535 1 1 0.21465 0 1
 83 0.51640 1 1 0.48360 1 1
 84 0.52510 1 1 0.47490 1 1
 85 0.67611 1 2 0.32389 1 2
 86 0.59485 1 1 0.40515 1 1
 87 0.60448 1 1 0.39552 0 1
 88 0.56253 1 1 0.43747 1 1
 89 1.00000 0 0 0.00000 0 0
 90 0.23887 0 0 0.76113 0 0
 91 NaNq 0 0 NaNq 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
