# ATFgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.85852 1 1 0.14148 0 1
 52 0.84193 0 1 0.15807 0 1
 53 0.81307 1 1 0.18693 0 1
 54 0.74892 2 3 0.25108 1 3
 55 0.88917 5 5 0.11083 1 5
 56 0.90236 4 5 0.09764 0 5
 57 0.98660 4 4 0.01340 0 4
 58 0.91490 3 4 0.08510 0 4
 59 0.89404 4 4 0.10596 0 4
 60 0.83695 4 4 0.16305 1 4
 61 0.91383 2 2 0.08617 0 2
 62 0.91422 2 3 0.08578 0 3
 63 0.96950 2 2 0.03050 0 2
 64 0.88105 2 2 0.11895 0 2
 65 0.89636 2 2 0.10364 0 2
 66 0.91410 2 2 0.08590 0 2
 67 0.85807 2 2 0.14193 0 2
 68 0.88344 2 3 0.11656 0 3
 69 0.90155 2 2 0.09845 0 2
 70 0.85932 1 2 0.14068 0 2
 71 0.88909 2 2 0.11091 0 2
 72 0.88547 2 3 0.11453 0 3
 73 0.71906 2 2 0.28094 1 2
 74 0.79157 2 3 0.20843 1 3
 75 0.75952 2 2 0.24048 1 2
 76 0.76370 2 2 0.23630 0 2
 77 0.75346 1 2 0.24654 0 2
 78 0.80258 1 1 0.19742 0 1
 79 0.80299 1 1 0.19701 0 1
 80 0.70961 1 1 0.29039 0 1
 81 0.59747 1 1 0.40253 0 1
 82 0.59711 1 1 0.40289 0 1
 83 0.44029 1 1 0.55971 1 1
 84 0.74696 1 1 0.25304 0 1
 85 0.81470 1 2 0.18530 0 2
 86 0.33895 0 1 0.66105 1 1
 87 0.25063 0 1 0.74937 1 1
 88 0.68207 1 1 0.31793 0 1
 89 0.34061 0 0 0.65939 0 0
 90 0.46000 0 0 0.54000 0 0
 91 NaNq 0 0 NaNq 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
