# ATMgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.32303 0 0 0.67697 0 0
 52 1.00000 0 0 0.00000 0 0
 53 0.76911 1 1 0.23089 0 1
 54 0.95841 3 4 0.04159 0 4
 55 0.81588 6 7 0.18412 1 7
 56 0.75332 4 5 0.24668 1 5
 57 0.98768 5 5 0.01232 0 5
 58 0.97074 5 5 0.02926 0 5
 59 0.89163 4 5 0.10837 1 5
 60 0.94628 2 2 0.05372 0 2
 61 0.88861 2 2 0.11139 0 2
 62 0.92549 2 2 0.07451 0 2
 63 0.87060 3 3 0.12940 0 3
 64 0.82621 2 2 0.17379 0 2
 65 0.88017 2 3 0.11983 0 3
 66 0.82659 2 3 0.17341 0 3
 67 0.91346 2 3 0.08654 0 3
 68 0.82834 2 2 0.17166 0 2
 69 0.81383 2 3 0.18617 1 3
 70 0.91727 2 2 0.08273 0 2
 71 0.82773 2 2 0.17227 0 2
 72 0.86057 1 2 0.13943 0 2
 73 0.76652 2 2 0.23348 1 2
 74 0.78937 2 3 0.21063 1 3
 75 0.86673 2 2 0.13327 0 2
 76 0.90356 2 2 0.09644 0 2
 77 1.00000 1 1 0.00000 0 1
 78 0.61057 1 2 0.38943 1 2
 79 0.80975 1 1 0.19025 0 1
 80 0.90019 1 1 0.09981 0 1
 81 0.72108 1 1 0.27892 0 1
 82 0.86645 1 1 0.13355 0 1
 83 0.79870 0 0 0.20130 0 0
 84 0.86156 1 1 0.13844 0 1
 85 0.81129 0 1 0.18871 0 1
 86 0.63295 0 1 0.36705 0 1
 87 0.37085 0 1 0.62915 0 1
 88 0.27014 0 1 0.72986 0 1
 89 0.51383 0 0 0.48617 0 0
 90 0.26946 0 0 0.73054 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
