# BEMgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.92478 3 3 0.07522 0 3
 52 0.92267 3 3 0.07733 0 3
 53 0.92463 3 4 0.07537 0 4
 54 0.86633 3 4 0.13367 0 4
 55 0.85597 4 4 0.14403 1 4
 56 0.71491 2 3 0.28509 1 3
 57 0.91223 3 4 0.08777 0 4
 58 0.87681 2 3 0.12319 0 3
 59 0.81324 1 2 0.18676 0 2
 60 0.86219 2 3 0.13781 0 3
 61 0.87079 2 3 0.12921 0 3
 62 0.83494 2 2 0.16506 0 2
 63 0.83302 2 3 0.16698 0 3
 64 0.88656 3 3 0.11344 0 3
 65 0.90086 2 3 0.09914 0 3
 66 0.91092 3 3 0.08908 0 3
 67 0.90541 2 3 0.09459 0 3
 68 0.85265 2 3 0.14735 0 3
 69 0.86155 2 3 0.13845 0 3
 70 0.87972 2 2 0.12028 0 2
 71 0.79090 2 2 0.20910 0 2
 72 0.91318 1 2 0.08682 0 2
 73 0.84946 1 1 0.15054 0 1
 74 0.90067 2 2 0.09933 0 2
 75 0.90351 1 2 0.09649 0 2
 76 0.83913 1 2 0.16087 0 2
 77 0.94390 1 2 0.05610 0 2
 78 0.82909 1 2 0.17091 0 2
 79 0.78471 1 1 0.21529 0 1
 80 0.78656 1 2 0.21344 0 2
 81 0.77364 1 1 0.22636 0 1
 82 0.65763 1 1 0.34237 0 1
 83 0.73734 1 1 0.26266 0 1
 84 0.89092 1 1 0.10908 0 1
 85 0.75591 1 1 0.24409 0 1
 86 0.75176 0 1 0.24824 0 1
 87 0.70686 1 1 0.29314 0 1
 88 0.66534 0 0 0.33466 0 0
 89 0.78154 0 0 0.21846 0 0
 90 0.81794 0 0 0.18206 0 0
 91 1.00000 0 0 0.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
