# CZFgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.98847 2 2 0.01153 0 2
 52 0.71968 2 3 0.28032 1 3
 53 0.99257 5 5 0.00743 0 5
 54 0.66965 2 4 0.33035 1 4
 55 0.89036 1 1 0.10964 0 1
 56 0.93143 2 2 0.06857 0 2
 57 0.85821 2 3 0.14179 0 3
 58 0.88035 2 2 0.11965 0 2
 59 0.90630 2 2 0.09370 0 2
 60 0.94467 3 3 0.05533 0 3
 61 0.83077 2 2 0.16923 0 2
 62 0.85809 2 2 0.14191 0 2
 63 0.90933 3 4 0.09067 0 4
 64 0.81492 3 4 0.18508 1 4
 65 0.86539 2 3 0.13461 0 3
 66 0.90276 3 3 0.09724 0 3
 67 0.86099 3 4 0.13901 1 4
 68 0.89895 3 3 0.10105 0 3
 69 0.83179 3 3 0.16821 1 3
 70 0.80531 3 3 0.19469 1 3
 71 0.81261 2 3 0.18739 0 3
 72 0.79998 2 2 0.20002 0 2
 73 0.87034 2 2 0.12966 0 2
 74 0.73770 1 1 0.26230 0 1
 75 0.76248 1 2 0.23752 0 2
 76 0.71225 1 1 0.28775 0 1
 77 0.81401 1 1 0.18599 0 1
 78 0.80816 1 1 0.19184 0 1
 79 0.82398 1 1 0.17602 0 1
 80 0.71626 1 2 0.28374 0 2
 81 0.67193 1 2 0.32807 1 2
 82 0.52344 1 2 0.47656 1 2
 83 0.79946 1 2 0.20054 0 2
 84 0.68538 1 1 0.31462 0 1
 85 0.62707 0 1 0.37293 0 1
 86 0.46816 0 1 0.53184 0 1
 87 0.78419 0 0 0.21581 0 0
 88 0.82638 0 0 0.17362 0 0
 89 0.29470 0 1 0.70530 0 1
 90 0.50499 0 0 0.49501 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
