# CZFsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:13:35 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.56089 1 2 0.43911 1 2
 52 0.98071 3 3 0.01929 0 3
 53 0.75529 3 5 0.24471 1 5
 54 0.51874 2 4 0.48126 2 4
 55 0.69022 1 1 0.30978 0 1
 56 0.79720 1 2 0.20280 0 2
 57 0.68974 2 3 0.31026 1 3
 58 0.58086 1 2 0.41914 1 2
 59 0.65722 1 2 0.34278 1 2
 60 0.73131 2 3 0.26869 1 3
 61 0.70456 2 2 0.29544 1 2
 62 0.65706 1 2 0.34294 1 2
 63 0.72433 3 4 0.27567 1 4
 64 0.65990 2 4 0.34010 1 4
 65 0.54188 2 3 0.45812 1 3
 66 0.69148 2 3 0.30852 1 3
 67 0.61263 2 4 0.38737 2 4
 68 0.70444 2 3 0.29556 1 3
 69 0.50255 2 3 0.49745 2 3
 70 0.52123 2 3 0.47877 1 3
 71 0.54661 1 3 0.45339 1 3
 72 0.54882 1 2 0.45118 1 2
 73 0.44776 1 2 0.55224 1 2
 74 0.39633 1 1 0.60367 1 1
 75 0.36168 1 2 0.63832 1 2
 76 0.28373 0 1 0.71627 1 1
 77 0.45186 0 1 0.54814 1 1
 78 0.46347 1 1 0.53653 1 1
 79 0.70082 1 1 0.29918 0 1
 80 0.37388 1 2 0.62612 1 2
 81 0.35990 1 2 0.64010 1 2
 82 0.21728 0 2 0.78272 1 2
 83 0.39129 1 2 0.60871 1 2
 84 0.65307 1 1 0.34693 0 1
 85 0.06234 0 1 0.93766 1 1
 86 0.51172 0 1 0.48828 0 1
 87 0.51367 0 0 0.48633 0 0
 88 0.46950 0 0 0.53050 0 0
 89 0.05064 0 1 0.94936 1 1
 90 0.05035 0 0 0.94965 0 0
 91 0.47860 0 0 0.52140 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
