# CZMchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:21:36 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.02033 0 1 0.97967 1 1
 52 0.60446 1 2 0.39554 1 2
 53 0.66414 4 7 0.33586 2 7
 54 0.46877 3 6 0.53123 3 6
 55 0.17822 0 3 0.82178 2 3
 56 0.23008 0 1 0.76992 1 1
 57 0.17621 0 2 0.82379 1 2
 58 0.13122 0 3 0.86878 2 3
 59 0.26002 1 2 0.73998 2 2
 60 0.17202 0 2 0.82798 2 2
 61 0.22308 1 2 0.77692 2 2
 62 0.27997 1 3 0.72003 2 3
 63 0.22553 1 4 0.77447 3 4
 64 0.15675 1 3 0.84325 3 3
 65 0.20877 1 3 0.79123 2 3
 66 0.10922 0 3 0.89078 2 3
 67 0.12301 0 4 0.87699 3 4
 68 0.15127 1 4 0.84873 3 4
 69 0.12357 0 4 0.87643 3 4
 70 0.17422 1 3 0.82578 2 3
 71 0.19247 0 2 0.80753 2 2
 72 0.07619 0 2 0.92381 2 2
 73 0.08539 0 2 0.91461 2 2
 74 0.11290 0 2 0.88710 1 2
 75 0.09253 0 2 0.90747 1 2
 76 0.02276 0 1 0.97724 1 1
 77 0.09970 0 1 0.90030 1 1
 78 0.10797 0 1 0.89203 1 1
 79 0.15009 0 1 0.84991 1 1
 80 0.16008 0 1 0.83992 1 1
 81 0.04024 0 1 0.95976 1 1
 82 0.06581 0 1 0.93419 1 1
 83 0.08883 0 1 0.91117 1 1
 84 0.31306 0 0 0.68694 0 0
 85 0.00000 0 1 1.00000 1 1
 86 0.00000 0 0 1.00000 0 0
 87 0.14740 0 0 0.85260 0 0
 88 0.11654 0 1 0.88346 0 1
 89 0.00000 0 0 1.00000 0 0
 90 0.00000 0 0 1.00000 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
