# CZMgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 1 1 0.00000 0 1
 52 0.96532 2 2 0.03468 0 2
 53 1.00000 7 7 0.00000 0 7
 54 0.88583 5 6 0.11417 1 6
 55 0.51540 1 3 0.48460 1 3
 56 0.65235 1 1 0.34765 0 1
 57 0.89287 2 2 0.10713 0 2
 58 0.84450 2 3 0.15550 0 3
 59 0.81627 2 2 0.18373 0 2
 60 0.72642 2 2 0.27358 1 2
 61 0.82332 2 2 0.17668 0 2
 62 0.84910 2 3 0.15090 0 3
 63 0.82909 3 4 0.17091 1 4
 64 0.82817 3 3 0.17183 1 3
 65 0.89409 3 3 0.10591 0 3
 66 0.83638 2 3 0.16362 0 3
 67 0.89129 3 4 0.10871 0 4
 68 0.86748 3 4 0.13252 1 4
 69 0.88859 3 4 0.11141 0 4
 70 0.91373 3 3 0.08627 0 3
 71 0.80537 2 2 0.19463 0 2
 72 0.74750 1 2 0.25250 0 2
 73 0.90036 2 2 0.09964 0 2
 74 0.81929 1 2 0.18071 0 2
 75 0.73921 1 2 0.26079 0 2
 76 0.70697 1 1 0.29303 0 1
 77 0.79814 1 1 0.20186 0 1
 78 0.78154 1 1 0.21846 0 1
 79 0.73296 1 1 0.26704 0 1
 80 0.76757 1 1 0.23243 0 1
 81 0.72176 1 1 0.27824 0 1
 82 0.58294 1 1 0.41706 0 1
 83 0.71157 1 1 0.28843 0 1
 84 0.71065 0 0 0.28935 0 0
 85 0.48017 0 1 0.51983 0 1
 86 0.40907 0 0 0.59093 0 0
 87 0.61854 0 0 0.38146 0 0
 88 0.72839 0 1 0.27161 0 1
 89 0.79489 0 0 0.20511 0 0
 90 0.61801 0 0 0.38199 0 0
 91 1.00000 0 0 0.00000 0 0
 92 NaNq 0 0 NaNq 0 0
