# CZMsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:13:35 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.97967 1 1 0.02033 0 1
 52 0.95248 2 2 0.04752 0 2
 53 0.78144 5 7 0.21856 1 7
 54 0.57272 3 6 0.42728 2 6
 55 0.39806 1 3 0.60194 2 3
 56 0.42439 1 1 0.57561 1 1
 57 0.62967 1 2 0.37033 1 2
 58 0.60186 2 3 0.39814 1 3
 59 0.58994 1 2 0.41006 1 2
 60 0.64423 1 2 0.35577 1 2
 61 0.57123 1 2 0.42877 1 2
 62 0.55946 2 3 0.44054 1 3
 63 0.60939 2 4 0.39061 1 4
 64 0.64028 2 3 0.35972 1 3
 65 0.61948 2 3 0.38052 1 3
 66 0.62886 2 3 0.37114 1 3
 67 0.60253 2 4 0.39747 1 4
 68 0.60817 2 4 0.39183 2 4
 69 0.54922 2 4 0.45078 2 4
 70 0.53071 2 3 0.46929 1 3
 71 0.66614 2 2 0.33386 1 2
 72 0.46637 1 2 0.53363 1 2
 73 0.59254 1 2 0.40746 1 2
 74 0.49332 1 1 0.50668 1 1
 75 0.46395 1 2 0.53605 1 2
 76 0.55602 1 1 0.44398 1 1
 77 0.53828 1 1 0.46172 1 1
 78 0.29000 0 1 0.71000 1 1
 79 0.39290 0 1 0.60710 0 1
 80 0.54204 1 1 0.45796 1 1
 81 0.28791 0 1 0.71209 1 1
 82 0.34769 0 1 0.65231 1 1
 83 0.59316 0 1 0.40684 0 1
 84 0.39665 0 0 0.60335 0 0
 85 0.11191 0 1 0.88809 1 1
 86 0.19948 0 0 0.80052 0 0
 87 0.14740 0 0 0.85260 0 0
 88 0.16690 0 1 0.83310 0 1
 89 0.11789 0 0 0.88211 0 0
 90 0.61801 0 0 0.38199 0 0
 91 1.00000 0 0 0.00000 0 0
 92 NaNq 0 0 NaNq 0 0
