# DEFadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.91409 1 1 0.08591 0 1
 52 0.99119 3 3 0.00881 0 3
 53 0.92924 3 4 0.07076 0 4
 54 0.98797 3 3 0.01203 0 3
 55 0.88859 3 3 0.11141 0 3
 56 0.94855 3 4 0.05145 0 4
 57 0.98004 2 2 0.01996 0 2
 58 0.91310 3 3 0.08690 0 3
 59 0.89767 3 3 0.10233 0 3
 60 0.96106 2 2 0.03894 0 2
 61 0.96710 3 3 0.03290 0 3
 62 0.91785 2 2 0.08215 0 2
 63 0.94809 2 3 0.05191 0 3
 64 0.94958 3 3 0.05042 0 3
 65 0.95005 3 3 0.04995 0 3
 66 0.90306 2 3 0.09694 0 3
 67 0.86521 2 3 0.13479 0 3
 68 1.00000 2 2 0.00000 0 2
 69 0.69512 1 1 0.30488 0 1
 70 0.86680 2 2 0.13320 0 2
 71 0.84571 2 2 0.15429 0 2
 72 0.87455 2 3 0.12545 0 3
 73 0.91785 2 3 0.08215 0 3
 74 0.83736 3 3 0.16264 1 3
 75 0.76125 1 2 0.23875 0 2
 76 0.91384 2 2 0.08616 0 2
 77 0.81707 2 2 0.18293 0 2
 78 0.86168 2 2 0.13832 0 2
 79 0.76186 1 2 0.23814 0 2
 80 0.76035 1 2 0.23965 0 2
 81 0.74583 1 2 0.25417 0 2
 82 0.73951 1 1 0.26049 0 1
 83 0.60188 1 1 0.39812 0 1
 84 0.52235 0 1 0.47765 0 1
 85 0.65844 1 1 0.34156 0 1
 86 0.39909 0 1 0.60091 0 1
 87 0.61139 0 1 0.38861 0 1
 88 0.68889 0 1 0.31111 0 1
 89 0.48578 0 1 0.51422 0 1
 90 0.00000 0 0 1.00000 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
