# DEFsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:13:35 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.61127 1 1 0.38873 1 1
 52 0.72283 2 3 0.27717 1 3
 53 0.70160 3 4 0.29840 1 4
 54 0.75581 3 3 0.24419 1 3
 55 0.68029 2 3 0.31971 1 3
 56 0.64729 2 4 0.35271 1 4
 57 0.73841 2 3 0.26159 1 3
 58 0.53324 2 3 0.46676 2 3
 59 0.67781 2 3 0.32219 1 3
 60 0.74217 2 2 0.25783 1 2
 61 0.61317 2 3 0.38683 1 3
 62 0.63932 2 2 0.36068 1 2
 63 0.65450 2 3 0.34550 1 3
 64 0.68072 2 3 0.31928 1 3
 65 0.69315 2 3 0.30685 1 3
 66 0.61926 2 3 0.38074 1 3
 67 0.59353 2 3 0.40647 1 3
 68 0.69655 1 2 0.30345 1 2
 69 0.51162 1 1 0.48838 1 1
 70 0.53308 1 2 0.46692 1 2
 71 0.66104 2 2 0.33896 1 2
 72 0.49175 1 3 0.50825 2 3
 73 0.49730 1 3 0.50270 1 3
 74 0.52694 2 3 0.47306 2 3
 75 0.49925 1 2 0.50075 1 2
 76 0.38315 1 3 0.61685 2 3
 77 0.52049 1 2 0.47951 1 2
 78 0.49401 1 2 0.50599 1 2
 79 0.46999 1 2 0.53001 1 2
 80 0.35294 1 2 0.64706 1 2
 81 0.40569 1 2 0.59431 1 2
 82 0.31021 0 1 0.68979 1 1
 83 0.31381 0 1 0.68619 1 1
 84 0.19505 0 1 0.80495 0 1
 85 0.39062 1 1 0.60938 1 1
 86 0.17723 0 1 0.82277 1 1
 87 0.32216 0 1 0.67784 0 1
 88 0.30512 0 1 0.69488 0 1
 89 0.27075 0 1 0.72925 1 1
 90 0.00000 0 0 1.00000 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
