# DEMadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 0 0 0.00000 0 0
 52 0.95507 2 2 0.04493 0 2
 53 0.94832 5 5 0.05168 0 5
 54 0.96929 4 4 0.03071 0 4
 55 0.94867 4 4 0.05133 0 4
 56 0.93726 4 4 0.06274 0 4
 57 0.93994 4 4 0.06006 0 4
 58 0.98527 4 4 0.01473 0 4
 59 0.90403 3 4 0.09597 0 4
 60 0.87849 2 3 0.12151 0 3
 61 0.95973 2 3 0.04027 0 3
 62 0.90710 2 3 0.09290 0 3
 63 0.97594 2 2 0.02406 0 2
 64 0.89654 3 3 0.10346 0 3
 65 0.91102 3 3 0.08898 0 3
 66 0.90554 3 3 0.09446 0 3
 67 0.98323 2 2 0.01677 0 2
 68 0.81019 2 2 0.18981 0 2
 69 0.85618 2 2 0.14382 0 2
 70 0.89737 2 2 0.10263 0 2
 71 0.84806 2 3 0.15194 0 3
 72 0.82551 1 2 0.17449 0 2
 73 0.82783 2 2 0.17217 0 2
 74 0.97944 2 2 0.02056 0 2
 75 0.91545 2 3 0.08455 0 3
 76 0.81897 2 2 0.18103 0 2
 77 0.84104 2 2 0.15896 0 2
 78 0.77899 1 2 0.22101 0 2
 79 0.85311 1 1 0.14689 0 1
 80 0.65598 1 1 0.34402 0 1
 81 0.77389 1 1 0.22611 0 1
 82 0.91903 1 1 0.08097 0 1
 83 0.75309 0 0 0.24691 0 0
 84 0.65286 0 1 0.34714 0 1
 85 0.77938 1 1 0.22062 0 1
 86 0.66840 0 1 0.33160 0 1
 87 0.59328 0 1 0.40672 0 1
 88 0.71167 0 0 0.28833 0 0
 89 0.73253 0 0 0.26747 0 0
 90 0.77164 0 0 0.22836 0 0
 91 NaNq 0 0 NaNq 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
