# DEMchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Wed Feb 05 12:04:15 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.48005 0 0 0.51995 0 0
 52 0.29829 1 2 0.70171 1 2
 53 0.28378 1 5 0.71622 3 5
 54 0.34197 1 4 0.65803 3 4
 55 0.39308 2 4 0.60692 3 4
 56 0.31346 1 4 0.68654 3 4
 57 0.28126 1 4 0.71874 3 4
 58 0.19684 1 4 0.80316 3 4
 59 0.21537 1 4 0.78463 3 4
 60 0.33336 1 3 0.66664 2 3
 61 0.27169 1 3 0.72831 2 3
 62 0.24996 1 3 0.75004 2 3
 63 0.16915 0 2 0.83085 2 2
 64 0.26783 1 3 0.73217 2 3
 65 0.27624 1 3 0.72376 2 3
 66 0.28456 1 3 0.71544 2 3
 67 0.21647 1 2 0.78353 2 2
 68 0.20010 0 2 0.79990 2 2
 69 0.18339 0 2 0.81661 2 2
 70 0.15250 0 2 0.84750 2 2
 71 0.16675 0 3 0.83325 2 3
 72 0.16931 0 2 0.83069 1 2
 73 0.12080 0 2 0.87920 2 2
 74 0.06610 0 2 0.93390 2 2
 75 0.18380 0 3 0.81620 2 3
 76 0.13835 0 2 0.86165 2 2
 77 0.11897 0 2 0.88103 2 2
 78 0.10379 0 2 0.89621 2 2
 79 0.15894 0 1 0.84106 1 1
 80 0.13275 0 1 0.86725 1 1
 81 0.03563 0 1 0.96437 1 1
 82 0.13591 0 1 0.86409 1 1
 83 0.00000 0 0 1.00000 0 0
 84 0.05821 0 1 0.94179 1 1
 85 0.08364 0 1 0.91636 1 1
 86 0.07264 0 1 0.92736 0 1
 87 0.00000 0 1 1.00000 1 1
 88 0.00000 0 0 1.00000 0 0
 89 0.29624 0 0 0.70376 0 0
 90 0.00000 0 0 1.00000 0 0
 91 NaNq 0 0 NaNq 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
