# DEMgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 0 0 0.00000 0 0
 52 0.90567 2 2 0.09433 0 2
 53 0.84720 4 5 0.15280 1 5
 54 0.83642 4 4 0.16358 1 4
 55 0.93216 4 4 0.06784 0 4
 56 0.79933 3 4 0.20067 1 4
 57 0.84993 4 4 0.15007 1 4
 58 0.94508 4 4 0.05492 0 4
 59 0.89942 3 4 0.10058 0 4
 60 0.82177 2 3 0.17823 0 3
 61 0.82047 2 3 0.17953 0 3
 62 0.79726 2 3 0.20274 1 3
 63 0.89295 2 2 0.10705 0 2
 64 0.86013 3 3 0.13987 0 3
 65 0.92092 3 3 0.07908 0 3
 66 0.90869 3 3 0.09131 0 3
 67 0.87604 2 2 0.12396 0 2
 68 0.82271 2 2 0.17729 0 2
 69 0.87159 2 2 0.12841 0 2
 70 0.82316 2 2 0.17684 0 2
 71 0.75538 2 3 0.24462 1 3
 72 0.78877 1 2 0.21123 0 2
 73 0.79772 2 2 0.20228 0 2
 74 0.84314 2 2 0.15686 0 2
 75 0.82182 2 3 0.17818 0 3
 76 0.84391 2 2 0.15609 0 2
 77 0.85276 2 2 0.14724 0 2
 78 0.66393 1 2 0.33607 1 2
 79 0.85971 1 1 0.14029 0 1
 80 0.61526 1 1 0.38474 0 1
 81 0.56064 1 1 0.43936 1 1
 82 0.53846 1 1 0.46154 0 1
 83 0.90313 0 0 0.09687 0 0
 84 0.32093 0 1 0.67907 0 1
 85 0.59977 1 1 0.40023 0 1
 86 0.60923 0 1 0.39077 0 1
 87 0.67693 0 1 0.32307 0 1
 88 0.37146 0 0 0.62854 0 0
 89 0.73253 0 0 0.26747 0 0
 90 0.34987 0 0 0.65013 0 0
 91 NaNq 0 0 NaNq 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
