# DKFadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.92753 3 3 0.07247 0 3
 52 0.93834 4 4 0.06166 0 4
 53 0.93243 3 3 0.06757 0 3
 54 0.89130 2 3 0.10870 0 3
 55 0.94225 3 3 0.05775 0 3
 56 0.96681 2 2 0.03319 0 2
 57 0.95932 3 3 0.04068 0 3
 58 0.97295 3 3 0.02705 0 3
 59 0.95158 3 3 0.04842 0 3
 60 0.95662 3 3 0.04338 0 3
 61 0.97395 3 3 0.02605 0 3
 62 0.98323 3 3 0.01677 0 3
 63 0.96637 3 3 0.03363 0 3
 64 0.97122 3 3 0.02878 0 3
 65 0.97127 3 3 0.02873 0 3
 66 0.97218 3 3 0.02782 0 3
 67 0.95173 2 2 0.04827 0 2
 68 0.90934 2 3 0.09066 0 3
 69 0.90880 3 3 0.09120 0 3
 70 0.93098 2 3 0.06902 0 3
 71 0.90515 2 3 0.09485 0 3
 72 0.94311 2 2 0.05689 0 2
 73 0.89789 2 2 0.10211 0 2
 74 0.88701 2 2 0.11299 0 2
 75 0.92412 2 2 0.07588 0 2
 76 0.88562 2 2 0.11438 0 2
 77 0.71136 1 2 0.28864 0 2
 78 0.87192 1 1 0.12808 0 1
 79 1.00000 1 1 0.00000 0 1
 80 0.77674 1 1 0.22326 0 1
 81 0.93733 1 1 0.06267 0 1
 82 0.86304 1 2 0.13696 0 2
 83 0.77576 1 2 0.22424 0 2
 84 0.86443 1 1 0.13557 0 1
 85 1.00000 1 1 0.00000 0 1
 86 0.73889 1 1 0.26111 0 1
 87 0.44311 0 1 0.55689 0 1
 88 0.84175 0 0 0.15825 0 0
 89 0.84984 0 0 0.15016 0 0
 90 0.33333 0 0 0.66667 0 0
 91 1.00000 0 0 0.00000 0 0
 92 NaNq 0 0 NaNq 0 0
