# DKFgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.89328 3 3 0.10672 0 3
 52 0.89632 3 4 0.10368 0 4
 53 0.94365 3 3 0.05635 0 3
 54 0.95537 2 3 0.04463 0 3
 55 0.87036 3 3 0.12964 0 3
 56 0.95177 2 2 0.04823 0 2
 57 0.92038 3 3 0.07962 0 3
 58 0.83633 2 3 0.16367 0 3
 59 0.93928 3 3 0.06072 0 3
 60 0.97599 3 3 0.02401 0 3
 61 0.94431 3 3 0.05569 0 3
 62 0.94180 3 3 0.05820 0 3
 63 0.97027 3 3 0.02973 0 3
 64 0.95120 3 3 0.04880 0 3
 65 0.94949 3 3 0.05051 0 3
 66 0.97218 3 3 0.02782 0 3
 67 0.88428 2 2 0.11572 0 2
 68 0.86401 2 3 0.13599 0 3
 69 0.92992 3 3 0.07008 0 3
 70 0.96623 2 3 0.03377 0 3
 71 0.90515 2 3 0.09485 0 3
 72 0.87997 2 2 0.12003 0 2
 73 0.95478 2 2 0.04522 0 2
 74 0.85016 2 2 0.14984 0 2
 75 0.92744 2 2 0.07256 0 2
 76 0.85876 2 2 0.14124 0 2
 77 0.81729 1 2 0.18271 0 2
 78 0.85312 1 1 0.14688 0 1
 79 0.95139 1 2 0.04861 0 2
 80 0.75044 1 1 0.24956 0 1
 81 0.81199 1 1 0.18801 0 1
 82 0.83582 1 2 0.16418 0 2
 83 0.75306 1 2 0.24694 0 2
 84 0.81345 1 1 0.18655 0 1
 85 0.90619 1 1 0.09381 0 1
 86 0.86944 1 1 0.13056 0 1
 87 0.44311 0 1 0.55689 0 1
 88 0.84175 0 0 0.15825 0 0
 89 0.84984 0 0 0.15016 0 0
 90 0.66667 0 0 0.33333 0 0
 91 1.00000 0 0 0.00000 0 0
 92 NaNq 0 0 NaNq 0 0
