# EEFadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.94429 3 3 0.05571 0 3
 52 0.94241 2 2 0.05759 0 2
 53 0.94694 2 3 0.05306 0 3
 54 0.91006 2 2 0.08994 0 2
 55 0.91154 2 2 0.08846 0 2
 56 0.92921 3 3 0.07079 0 3
 57 0.87727 2 3 0.12273 0 3
 58 0.89059 3 3 0.10941 0 3
 59 0.89822 2 3 0.10178 0 3
 60 0.96622 3 3 0.03378 0 3
 61 0.95028 3 3 0.04972 0 3
 62 0.92268 2 2 0.07732 0 2
 63 0.88937 2 2 0.11063 0 2
 64 0.91863 2 2 0.08137 0 2
 65 0.92844 2 3 0.07156 0 3
 66 0.88448 2 3 0.11552 0 3
 67 0.89262 3 3 0.10738 0 3
 68 0.83274 2 3 0.16726 0 3
 69 0.87443 2 2 0.12557 0 2
 70 0.94865 2 2 0.05135 0 2
 71 0.95048 1 1 0.04952 0 1
 72 0.83257 2 2 0.16743 0 2
 73 0.82950 2 3 0.17050 0 3
 74 0.81971 2 2 0.18029 0 2
 75 0.81654 2 3 0.18346 1 3
 76 0.84317 2 2 0.15683 0 2
 77 0.79528 2 2 0.20472 0 2
 78 0.66983 2 2 0.33017 1 2
 79 0.72315 2 2 0.27685 1 2
 80 0.72473 1 2 0.27527 1 2
 81 0.69521 1 2 0.30479 0 2
 82 0.61250 1 2 0.38750 1 2
 83 0.55123 1 2 0.44877 1 2
 84 0.65786 1 2 0.34214 1 2
 85 0.59388 1 1 0.40612 0 1
 86 0.65791 1 1 0.34209 0 1
 87 0.59279 1 1 0.40721 0 1
 88 0.54557 0 1 0.45443 0 1
 89 0.55158 0 1 0.44842 0 1
 90 0.70588 0 1 0.29412 0 1
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
