# EEFgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.86734 3 3 0.13266 0 3
 52 0.78424 2 2 0.21576 1 2
 53 0.81225 2 3 0.18775 0 3
 54 0.83041 2 2 0.16959 0 2
 55 0.92309 2 3 0.07691 0 3
 56 0.81389 2 3 0.18611 1 3
 57 0.76843 2 3 0.23157 1 3
 58 0.76736 2 3 0.23264 1 3
 59 0.75259 2 3 0.24741 1 3
 60 0.77579 3 3 0.22421 1 3
 61 0.78741 2 3 0.21259 1 3
 62 0.71789 2 2 0.28211 1 2
 63 0.77284 2 2 0.22716 1 2
 64 0.79597 2 2 0.20403 1 2
 65 0.84242 2 3 0.15758 0 3
 66 0.75171 2 3 0.24829 1 3
 67 0.75693 2 3 0.24307 1 3
 68 0.76250 2 3 0.23750 1 3
 69 0.69186 2 2 0.30814 1 2
 70 0.80698 2 2 0.19302 0 2
 71 0.81385 1 1 0.18615 0 1
 72 0.74134 2 2 0.25866 1 2
 73 0.72116 2 3 0.27884 1 3
 74 0.74125 2 2 0.25875 1 2
 75 0.66032 2 3 0.33968 1 3
 76 0.70154 2 3 0.29846 1 3
 77 0.62110 1 2 0.37890 1 2
 78 0.58989 1 2 0.41011 1 2
 79 0.60624 1 2 0.39376 1 2
 80 0.60148 1 2 0.39852 1 2
 81 0.53074 1 2 0.46926 1 2
 82 0.44922 1 2 0.55078 1 2
 83 0.32768 1 2 0.67232 1 2
 84 0.50246 1 2 0.49754 1 2
 85 0.51565 1 1 0.48435 1 1
 86 0.33807 0 1 0.66193 1 1
 87 0.46460 0 1 0.53540 1 1
 88 0.34099 0 1 0.65901 1 1
 89 0.51737 0 1 0.48263 0 1
 90 0.41176 0 1 0.58824 0 1
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
