# EEMadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.93289 3 3 0.06711 0 3
 52 0.95719 3 3 0.04281 0 3
 53 0.97533 4 4 0.02467 0 4
 54 0.97626 4 4 0.02374 0 4
 55 0.92082 2 3 0.07918 0 3
 56 0.84761 3 3 0.15239 1 3
 57 0.90989 4 4 0.09011 0 4
 58 0.92035 3 4 0.07965 0 4
 59 0.89554 3 3 0.10446 0 3
 60 0.87354 3 4 0.12646 0 4
 61 0.93578 2 2 0.06422 0 2
 62 0.85723 2 3 0.14277 0 3
 63 0.91967 3 3 0.08033 0 3
 64 0.95512 2 3 0.04488 0 3
 65 0.85026 3 3 0.14974 0 3
 66 0.88420 2 3 0.11580 0 3
 67 0.93546 3 3 0.06454 0 3
 68 0.92792 2 3 0.07208 0 3
 69 0.89275 2 3 0.10725 0 3
 70 0.85497 2 2 0.14503 0 2
 71 0.84654 2 2 0.15346 0 2
 72 0.88880 1 2 0.11120 0 2
 73 0.89180 1 1 0.10820 0 1
 74 0.91852 2 2 0.08148 0 2
 75 0.75388 1 2 0.24612 0 2
 76 0.76973 1 2 0.23027 0 2
 77 0.85492 1 1 0.14508 0 1
 78 0.80673 1 2 0.19327 0 2
 79 0.86641 2 2 0.13359 0 2
 80 0.74860 1 1 0.25140 0 1
 81 0.70586 1 1 0.29414 0 1
 82 0.80914 1 1 0.19086 0 1
 83 0.70701 1 1 0.29299 0 1
 84 0.74518 1 1 0.25482 0 1
 85 0.65660 1 1 0.34340 0 1
 86 0.77854 1 1 0.22146 0 1
 87 0.66764 0 1 0.33236 0 1
 88 0.75505 0 0 0.24495 0 0
 89 0.92499 0 0 0.07501 0 0
 90 0.57616 0 0 0.42384 0 0
 91 NaNq 0 0 NaNq 0 0
 92 NaNq 0 0 NaNq 0 0
