# EEMchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:21:37 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.35847 1 3 0.64153 2 3
 52 0.37331 1 3 0.62669 2 3
 53 0.40232 2 4 0.59768 2 4
 54 0.35759 2 4 0.64241 3 4
 55 0.39691 1 2 0.60309 1 2
 56 0.34804 1 3 0.65196 2 3
 57 0.29037 1 4 0.70963 3 4
 58 0.33919 1 4 0.66081 3 4
 59 0.31276 1 3 0.68724 2 3
 60 0.19939 1 3 0.80061 3 3
 61 0.25925 1 3 0.74075 2 3
 62 0.31508 1 3 0.68492 2 3
 63 0.28418 1 3 0.71582 2 3
 64 0.18677 0 3 0.81323 2 3
 65 0.27755 1 3 0.72245 2 3
 66 0.20486 1 3 0.79514 2 3
 67 0.21501 1 3 0.78499 2 3
 68 0.20824 1 3 0.79176 2 3
 69 0.14871 0 3 0.85129 2 3
 70 0.26127 1 2 0.73873 2 2
 71 0.10482 0 2 0.89518 2 2
 72 0.09050 0 2 0.90950 2 2
 73 0.06257 0 1 0.93743 1 1
 74 0.25429 0 2 0.74571 1 2
 75 0.07863 0 2 0.92137 1 2
 76 0.09812 0 2 0.90188 1 2
 77 0.14686 0 1 0.85314 1 1
 78 0.17763 0 2 0.82237 2 2
 79 0.04973 0 2 0.95027 2 2
 80 0.03519 0 2 0.96481 1 2
 81 0.17787 0 1 0.82213 1 1
 82 0.02362 0 1 0.97638 1 1
 83 0.09682 0 1 0.90318 1 1
 84 0.06908 0 1 0.93092 1 1
 85 0.18538 0 1 0.81462 1 1
 86 0.00000 0 1 1.00000 1 1
 87 0.04842 0 1 0.95158 0 1
 88 0.08498 0 0 0.91502 0 0
 89 0.23278 0 0 0.76722 0 0
 90 0.00000 0 0 1.00000 0 0
 91 NaNq 0 0 NaNq 0 0
 92 NaNq 0 0 NaNq 0 0
