# EEMsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:13:35 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.57129 2 3 0.42871 1 3
 52 0.43211 1 3 0.56789 2 3
 53 0.46023 2 4 0.53977 2 4
 54 0.49764 2 4 0.50236 2 4
 55 0.63143 2 3 0.36857 1 3
 56 0.34160 1 3 0.65840 2 3
 57 0.44475 2 4 0.55525 2 4
 58 0.31505 1 4 0.68495 3 4
 59 0.28602 1 3 0.71398 2 3
 60 0.32493 1 4 0.67507 2 4
 61 0.24932 1 2 0.75068 2 2
 62 0.40389 1 3 0.59611 2 3
 63 0.35971 1 3 0.64029 2 3
 64 0.44386 1 3 0.55614 1 3
 65 0.33949 1 3 0.66051 2 3
 66 0.24590 1 3 0.75410 2 3
 67 0.24719 1 3 0.75281 2 3
 68 0.19091 0 3 0.80909 2 3
 69 0.31724 1 3 0.68276 2 3
 70 0.21897 0 2 0.78103 2 2
 71 0.13743 0 2 0.86257 2 2
 72 0.16394 0 2 0.83606 1 2
 73 0.10455 0 1 0.89545 1 1
 74 0.15878 0 2 0.84122 2 2
 75 0.19244 0 2 0.80756 1 2
 76 0.17256 0 2 0.82744 1 2
 77 0.22013 0 1 0.77987 1 1
 78 0.19377 0 2 0.80623 1 2
 79 0.13310 0 2 0.86690 2 2
 80 0.14916 0 2 0.85084 1 2
 81 0.17670 0 1 0.82330 1 1
 82 0.08488 0 1 0.91512 1 1
 83 0.02420 0 1 0.97580 1 1
 84 0.09193 0 1 0.90807 1 1
 85 0.05168 0 1 0.94832 1 1
 86 0.07484 0 1 0.92516 1 1
 87 0.00000 0 1 1.00000 1 1
 88 0.08498 0 0 0.91502 0 0
 89 0.23278 0 0 0.76722 0 0
 90 0.00000 0 0 1.00000 0 0
 91 NaNq 0 0 NaNq 0 0
 92 NaNq 0 0 NaNq 0 0
