# ESFchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:21:37 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.42687 1 3 0.57313 2 3
 52 0.66198 2 2 0.33802 1 2
 53 0.35706 1 1 0.64294 1 1
 54 0.55240 3 5 0.44760 2 5
 55 0.25674 2 6 0.74326 5 6
 56 0.44022 2 5 0.55978 3 5
 57 0.40081 2 4 0.59919 2 4
 58 0.33427 0 1 0.66573 1 1
 59 0.39159 0 1 0.60841 0 1
 60 0.43480 1 1 0.56520 1 1
 61 0.29874 1 3 0.70126 2 3
 62 0.30740 1 2 0.69260 1 2
 63 0.12098 0 2 0.87902 2 2
 64 0.16623 0 2 0.83377 2 2
 65 0.18825 0 2 0.81175 2 2
 66 0.20855 1 3 0.79145 2 3
 67 0.00502 0 2 0.99498 2 2
 68 0.09838 0 2 0.90162 2 2
 69 0.05947 0 2 0.94053 2 2
 70 0.06810 0 2 0.93190 2 2
 71 0.11168 0 2 0.88832 2 2
 72 0.09920 0 2 0.90080 2 2
 73 0.16774 0 2 0.83226 2 2
 74 0.00671 0 1 0.99329 1 1
 75 0.06291 0 2 0.93709 2 2
 76 0.02343 0 2 0.97657 2 2
 77 0.06890 0 2 0.93110 2 2
 78 0.00644 0 2 0.99356 2 2
 79 0.03666 0 2 0.96334 2 2
 80 0.00340 0 2 0.99660 2 2
 81 0.00175 0 2 0.99825 2 2
 82 0.03212 0 2 0.96788 2 2
 83 0.02967 0 1 0.97033 1 1
 84 0.05417 0 1 0.94583 1 1
 85 0.00188 0 1 0.99812 1 1
 86 0.05348 0 1 0.94652 1 1
 87 0.00027 0 1 0.99973 1 1
 88 0.09093 0 1 0.90907 1 1
 89 0.04929 0 1 0.95071 1 1
 90 0.00101 0 1 0.99899 1 1
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
