# ESFsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:13:36 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.71448 2 3 0.28552 1 3
 52 0.76356 2 2 0.23644 1 2
 53 0.58856 1 1 0.41144 1 1
 54 0.83681 4 5 0.16319 1 5
 55 0.77721 5 6 0.22279 1 6
 56 0.75057 4 5 0.24943 1 5
 57 0.69051 3 4 0.30949 1 4
 58 0.73839 1 1 0.26161 0 1
 59 0.80797 1 1 0.19203 0 1
 60 0.58523 1 1 0.41477 1 1
 61 0.66003 2 3 0.33997 1 3
 62 0.59462 1 2 0.40538 1 2
 63 0.68230 1 2 0.31770 1 2
 64 0.66940 2 2 0.33060 1 2
 65 0.59764 1 2 0.40236 1 2
 66 0.70328 2 3 0.29672 1 3
 67 0.46164 1 2 0.53836 1 2
 68 0.61193 1 2 0.38807 1 2
 69 0.58097 1 2 0.41903 1 2
 70 0.56573 1 2 0.43427 1 2
 71 0.49740 1 2 0.50260 1 2
 72 0.44512 1 2 0.55488 1 2
 73 0.54265 1 2 0.45735 1 2
 74 0.41481 1 2 0.58519 1 2
 75 0.43866 1 2 0.56134 1 2
 76 0.29357 1 2 0.70643 1 2
 77 0.41654 1 2 0.58346 1 2
 78 0.29905 1 2 0.70095 1 2
 79 0.37521 1 2 0.62479 1 2
 80 0.15825 0 2 0.84175 2 2
 81 0.17710 0 2 0.82290 2 2
 82 0.18311 0 2 0.81689 1 2
 83 0.32621 0 1 0.67379 1 1
 84 0.28325 0 1 0.71675 1 1
 85 0.23620 0 1 0.76380 1 1
 86 0.12213 0 1 0.87787 1 1
 87 0.27756 0 1 0.72244 1 1
 88 0.23595 0 1 0.76405 1 1
 89 0.37988 0 1 0.62012 0 1
 90 0.27573 0 1 0.72427 1 1
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
